series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
CPIAUCSL,CPI-U: All Items,1980-01-01,78.0,,,,,
CPIAUCSL,CPI-U: All Items,1980-02-01,79.0,1.2821,,,1.2821,1.2821
CPIAUCSL,CPI-U: All Items,1980-03-01,80.1,1.3924,,,1.3372,1.3372
CPIAUCSL,CPI-U: All Items,1980-04-01,80.9,0.9988,,,1.2244,1.2244
CPIAUCSL,CPI-U: All Items,1980-05-01,81.7,0.9889,,,1.1655,1.1655
CPIAUCSL,CPI-U: All Items,1980-06-01,82.5,0.9792,,,1.1283,1.1283
CPIAUCSL,CPI-U: All Items,1980-07-01,82.6,0.1212,,,0.9604,0.9604
CPIAUCSL,CPI-U: All Items,1980-08-01,83.2,0.7264,,,0.927,0.927
CPIAUCSL,CPI-U: All Items,1980-09-01,83.9,0.8413,,,0.9163,0.9163
CPIAUCSL,CPI-U: All Items,1980-10-01,84.7,0.9535,,,0.9204,0.9204
CPIAUCSL,CPI-U: All Items,1980-11-01,85.6,1.0626,,,0.9346,0.9346
CPIAUCSL,CPI-U: All Items,1980-12-01,86.4,0.9346,,,0.9346,0.9346
CPIAUCSL,CPI-U: All Items,1981-01-01,87.2,0.9259,11.7949,11.7949,0.9339,0.9339
CPIAUCSL,CPI-U: All Items,1981-02-01,88.0,0.9174,11.3924,11.3924,0.9326,0.9035
CPIAUCSL,CPI-U: All Items,1981-03-01,88.6,0.6818,10.6117,10.6117,0.9147,0.8443
CPIAUCSL,CPI-U: All Items,1981-04-01,89.1,0.5643,10.136,10.136,0.8914,0.8081
CPIAUCSL,CPI-U: All Items,1981-05-01,89.7,0.6734,9.7919,9.7919,0.8777,0.7818
CPIAUCSL,CPI-U: All Items,1981-06-01,90.5,0.8919,9.697,9.697,0.8786,0.7745
CPIAUCSL,CPI-U: All Items,1981-07-01,91.5,1.105,10.7748,10.7748,0.8911,0.8565
CPIAUCSL,CPI-U: All Items,1981-08-01,92.2,0.765,10.8173,10.8173,0.8845,0.8597
CPIAUCSL,CPI-U: All Items,1981-09-01,93.1,0.9761,10.9654,10.9654,0.8891,0.871
CPIAUCSL,CPI-U: All Items,1981-10-01,93.4,0.3222,10.2715,10.2715,0.8621,0.8184
