series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-01-01,1.0,,,,
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-02-01,0.999,-0.1,,-0.1,-0.1
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-03-01,1.0,0.1001,,0.0001,0.0001
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-04-01,0.979,-2.1,,-0.7,-0.7
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-05-01,0.973,-0.6129,,-0.6782,-0.6782
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-06-01,0.966,-0.7194,,-0.6864,-0.6864
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-07-01,0.933,-3.4161,,-1.1414,-1.1414
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-08-01,0.981,5.1447,,-0.2434,-0.2434
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-09-01,0.996,1.5291,,-0.0218,-0.0218
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-10-01,1.005,0.9036,,0.081,0.081
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-11-01,1.004,-0.0995,,0.063,0.063
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1990-12-01,0.927,-7.6693,,-0.64,-0.64
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-01-01,0.897,-3.2362,-10.3,-0.8563,-0.8563
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-02-01,0.913,1.7837,-8.6086,-0.6533,-0.6994
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-03-01,0.932,2.0811,-6.8,-0.4579,-0.5343
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-04-01,0.933,0.1073,-4.6987,-0.4203,-0.3503
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-05-01,0.908,-2.6795,-6.6804,-0.5615,-0.5226
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-06-01,0.927,2.0925,-4.0373,-0.4054,-0.2882
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-07-01,0.896,-3.3441,-3.9657,-0.5686,-0.2822
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-08-01,0.893,-0.3348,-8.9704,-0.5563,-0.7389
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-09-01,0.925,3.5834,-7.1285,-0.3493,-0.5677
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-10-01,0.936,1.1892,-6.8657,-0.2761,-0.5439
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-11-01,0.92,-1.7094,-8.3665,-0.3412,-0.678
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1991-12-01,0.898,-2.3913,-3.1284,-0.4303,-0.2382
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-01-01,0.877,-2.3385,-2.2297,-0.5099,-0.1634
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-02-01,0.928,5.8153,1.6429,-0.2569,0.1726
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-03-01,0.923,-0.5388,-0.9657,-0.2677,-0.0457
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-04-01,0.918,-0.5417,-1.6077,-0.2778,-0.0998
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-05-01,0.873,-4.902,-3.8546,-0.443,-0.285
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-06-01,0.901,3.2073,-2.8047,-0.3171,-0.1921
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-07-01,0.856,-4.9945,-4.4643,-0.473,-0.3296
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-08-01,0.897,4.7897,0.4479,-0.3033,0.0974
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-09-01,0.905,0.8919,-2.1622,-0.2659,-0.1269
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-10-01,0.928,2.5414,-0.8547,-0.1808,-0.0142
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-11-01,0.932,0.431,1.3043,-0.1628,0.1642
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1992-12-01,0.917,-1.6094,2.1158,-0.2042,0.2293
FRGSHPUSM649NCIS,Cass Freight Index: Shipments,1993-01-01,0.909,-0.8724,3.6488,-0.2227,0.3515
