series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-01-01,1341.0,,,,,
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-02-01,1350.0,0.6711,,,0.6711,0.6711
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-03-01,1047.0,-22.4444,,,-10.8867,-10.8867
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-04-01,1051.0,0.382,,,-7.1304,-7.1304
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-05-01,927.0,-11.7983,,,-8.2974,-8.2974
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-06-01,1196.0,29.0183,,,-0.8342,-0.8342
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-07-01,1269.0,6.1037,,,0.3221,0.3221
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-08-01,1436.0,13.16,,,2.1561,2.1561
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-09-01,1471.0,2.4373,,,2.1912,2.1912
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-10-01,1523.0,3.535,,,2.3405,2.3405
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-11-01,1510.0,-0.8536,,,2.0211,2.0211
HOUST,New Privately-Owned Housing Units Started: Total Units,1980-12-01,1482.0,-1.8543,,,1.6688,1.6688
HOUST,New Privately-Owned Housing Units Started: Total Units,1981-01-01,1547.0,4.386,15.3617,15.3617,1.8952,1.8952
HOUST,New Privately-Owned Housing Units Started: Total Units,1981-02-01,1246.0,-19.457,-7.7037,-7.7037,0.2528,0.2179
HOUST,New Privately-Owned Housing Units Started: Total Units,1981-03-01,1306.0,4.8154,24.7373,24.7373,0.5787,2.4895
HOUST,New Privately-Owned Housing Units Started: Total Units,1981-04-01,1360.0,4.1348,29.4006,29.4006,0.8157,2.8023
