series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
INDPRO,Industrial Production Index: Total Index,1980-01-01,51.944,,,,
INDPRO,Industrial Production Index: Total Index,1980-02-01,51.9633,0.0372,,0.0372,0.0372
INDPRO,Industrial Production Index: Total Index,1980-03-01,51.7454,-0.4193,,-0.1911,-0.1911
INDPRO,Industrial Production Index: Total Index,1980-04-01,50.7197,-1.9822,,-0.7881,-0.7881
INDPRO,Industrial Production Index: Total Index,1980-05-01,49.4766,-2.4509,,-1.2038,-1.2038
INDPRO,Industrial Production Index: Total Index,1980-06-01,48.8383,-1.2901,,-1.2211,-1.2211
INDPRO,Industrial Production Index: Total Index,1980-07-01,48.4907,-0.7117,,-1.1362,-1.1362
INDPRO,Industrial Production Index: Total Index,1980-08-01,48.6456,0.3194,,-0.9282,-0.9282
INDPRO,Industrial Production Index: Total Index,1980-09-01,49.4578,1.6696,,-0.6035,-0.6035
INDPRO,Industrial Production Index: Total Index,1980-10-01,50.0861,1.2704,,-0.3953,-0.3953
INDPRO,Industrial Production Index: Total Index,1980-11-01,50.9209,1.6667,,-0.1891,-0.1891
INDPRO,Industrial Production Index: Total Index,1980-12-01,51.257,0.66,,-0.1119,-0.1119
INDPRO,Industrial Production Index: Total Index,1981-01-01,50.9328,-0.6325,-1.9467,-0.1553,-0.1553
INDPRO,Industrial Production Index: Total Index,1981-02-01,50.7237,-0.4105,-2.3855,-0.1749,-0.1926
INDPRO,Industrial Production Index: Total Index,1981-03-01,50.9806,0.5065,-1.478,-0.1262,-0.1154
INDPRO,Industrial Production Index: Total Index,1981-04-01,50.7661,-0.4207,0.0915,-0.1459,0.0147
INDPRO,Industrial Production Index: Total Index,1981-05-01,51.0552,0.5695,3.1906,-0.1012,0.2664
INDPRO,Industrial Production Index: Total Index,1981-06-01,51.3214,0.5214,5.0843,-0.0646,0.4173
INDPRO,Industrial Production Index: Total Index,1981-07-01,51.6555,0.651,6.5266,-0.0248,0.5309
INDPRO,Industrial Production Index: Total Index,1981-08-01,51.5903,-0.1262,6.0534,-0.0301,0.4938
INDPRO,Industrial Production Index: Total Index,1981-09-01,51.3429,-0.4795,3.8115,-0.0526,0.3147
INDPRO,Industrial Production Index: Total Index,1981-10-01,50.9463,-0.7725,1.7174,-0.0869,0.1444
INDPRO,Industrial Production Index: Total Index,1981-11-01,50.3546,-1.1614,-1.1121,-0.1357,-0.0913
INDPRO,Industrial Production Index: Total Index,1981-12-01,49.8086,-1.0843,-2.8258,-0.177,-0.2366
INDPRO,Industrial Production Index: Total Index,1982-01-01,48.7877,-2.0496,-4.2116,-0.255,-0.3547
INDPRO,Industrial Production Index: Total Index,1982-02-01,49.7839,2.0419,-1.8528,-0.1631,-0.1503
INDPRO,Industrial Production Index: Total Index,1982-03-01,49.4477,-0.6753,-3.0068,-0.1828,-0.2488
INDPRO,Industrial Production Index: Total Index,1982-04-01,48.9913,-0.923,-3.496,-0.2102,-0.2907
INDPRO,Industrial Production Index: Total Index,1982-05-01,48.6669,-0.6622,-4.6779,-0.2264,-0.3933
INDPRO,Industrial Production Index: Total Index,1982-06-01,48.5415,-0.2577,-5.4166,-0.2275,-0.4582
INDPRO,Industrial Production Index: Total Index,1982-07-01,48.3775,-0.3379,-6.3459,-0.2311,-0.5406
INDPRO,Industrial Production Index: Total Index,1982-08-01,47.9382,-0.9081,-7.079,-0.253,-0.6058
INDPRO,Industrial Production Index: Total Index,1982-09-01,47.8139,-0.2593,-6.8734,-0.2532,-0.5874
INDPRO,Industrial Production Index: Total Index,1982-10-01,47.3575,-0.9545,-7.0443,-0.2744,-0.6026
INDPRO,Industrial Production Index: Total Index,1982-11-01,47.2078,-0.3161,-6.2493,-0.2756,-0.5322
INDPRO,Industrial Production Index: Total Index,1982-12-01,46.8713,-0.7128,-5.8972,-0.2881,-0.5012
INDPRO,Industrial Production Index: Total Index,1983-01-01,47.7398,1.8529,-2.1479,-0.2287,-0.176
INDPRO,Industrial Production Index: Total Index,1983-02-01,47.4484,-0.6104,-4.6913,-0.2467,-0.397
INDPRO,Industrial Production Index: Total Index,1983-03-01,47.8426,0.8308,-3.2461,-0.2119,-0.2715
INDPRO,Industrial Production Index: Total Index,1983-04-01,48.4483,1.266,-1.1084,-0.1217,-0.0891
INDPRO,Industrial Production Index: Total Index,1983-05-01,48.747,0.6165,0.1646,-0.0365,0.0175
INDPRO,Industrial Production Index: Total Index,1983-06-01,49.0434,0.608,1.034,0.0162,0.0896
INDPRO,Industrial Production Index: Total Index,1983-07-01,49.7739,1.4895,2.8865,0.0774,0.2419
INDPRO,Industrial Production Index: Total Index,1983-08-01,50.364,1.1856,5.0603,0.1014,0.4164
INDPRO,Industrial Production Index: Total Index,1983-09-01,51.0937,1.4489,6.8595,0.0953,0.5587
INDPRO,Industrial Production Index: Total Index,1983-10-01,51.4902,0.776,8.7266,0.0816,0.7029
INDPRO,Industrial Production Index: Total Index,1983-11-01,51.721,0.4482,9.5603,0.0477,0.7666
INDPRO,Industrial Production Index: Total Index,1983-12-01,51.9769,0.4948,10.8928,0.0431,0.8672
INDPRO,Industrial Production Index: Total Index,1984-01-01,53.0088,1.9853,11.0369,0.1159,0.8783
INDPRO,Industrial Production Index: Total Index,1984-02-01,53.2486,0.4524,12.2242,0.1398,0.9668
INDPRO,Industrial Production Index: Total Index,1984-03-01,53.5028,0.4774,11.8309,0.139,0.9374
INDPRO,Industrial Production Index: Total Index,1984-04-01,53.8233,0.599,11.0943,0.1673,0.8818
INDPRO,Industrial Production Index: Total Index,1984-05-01,54.1104,0.5334,11.0025,0.1663,0.8749
INDPRO,Industrial Production Index: Total Index,1984-06-01,54.3075,0.3643,10.7336,0.162,0.8546
INDPRO,Industrial Production Index: Total Index,1984-07-01,54.4587,0.2784,9.4122,0.1516,0.7536
INDPRO,Industrial Production Index: Total Index,1984-08-01,54.5239,0.1197,8.2597,0.1585,0.6648
INDPRO,Industrial Production Index: Total Index,1984-09-01,54.3696,-0.283,6.4116,0.1639,0.5205
INDPRO,Industrial Production Index: Total Index,1984-10-01,54.3474,-0.0408,5.549,0.1842,0.4524
INDPRO,Industrial Production Index: Total Index,1984-11-01,54.529,0.3341,5.4291,0.2258,0.4429
INDPRO,Industrial Production Index: Total Index,1984-12-01,54.5556,0.0488,4.9612,0.2573,0.4058
INDPRO,Industrial Production Index: Total Index,1985-01-01,54.527,-0.0524,2.8641,0.3127,0.2359
INDPRO,Industrial Production Index: Total Index,1985-02-01,54.6871,0.2936,2.7015,0.2642,0.2227
INDPRO,Industrial Production Index: Total Index,1985-03-01,54.7673,0.1467,2.3634,0.287,0.1951
INDPRO,Industrial Production Index: Total Index,1985-04-01,54.6467,-0.2202,1.5298,0.3065,0.1269
INDPRO,Industrial Production Index: Total Index,1985-05-01,54.7396,0.17,1.1628,0.3296,0.0966
INDPRO,Industrial Production Index: Total Index,1985-06-01,54.711,-0.0522,0.743,0.3354,0.0619
