series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
PAYEMS,All Employees: Total Nonfarm,1980-01-01,90800.0,,,,,
PAYEMS,All Employees: Total Nonfarm,1980-02-01,90883.0,0.0914,,,0.0914,0.0914
PAYEMS,All Employees: Total Nonfarm,1980-03-01,90994.0,0.1221,,,0.1068,0.1068
PAYEMS,All Employees: Total Nonfarm,1980-04-01,90849.0,-0.1594,,,0.0181,0.0181
PAYEMS,All Employees: Total Nonfarm,1980-05-01,90420.0,-0.4722,,,-0.1045,-0.1045
PAYEMS,All Employees: Total Nonfarm,1980-06-01,90101.0,-0.3528,,,-0.1542,-0.1542
PAYEMS,All Employees: Total Nonfarm,1980-07-01,89840.0,-0.2897,,,-0.1767,-0.1767
PAYEMS,All Employees: Total Nonfarm,1980-08-01,90099.0,0.2883,,,-0.1103,-0.1103
PAYEMS,All Employees: Total Nonfarm,1980-09-01,90213.0,0.1265,,,-0.0807,-0.0807
PAYEMS,All Employees: Total Nonfarm,1980-10-01,90490.0,0.3071,,,-0.0376,-0.0376
PAYEMS,All Employees: Total Nonfarm,1980-11-01,90747.0,0.284,,,-0.0055,-0.0055
PAYEMS,All Employees: Total Nonfarm,1980-12-01,90943.0,0.216,,,0.0147,0.0147
PAYEMS,All Employees: Total Nonfarm,1981-01-01,91033.0,0.099,0.2566,0.2566,0.0217,0.0217
PAYEMS,All Employees: Total Nonfarm,1981-02-01,91105.0,0.0791,0.2443,0.2443,0.0261,0.0207
PAYEMS,All Employees: Total Nonfarm,1981-03-01,91210.0,0.1153,0.2374,0.2374,0.0325,0.0201
PAYEMS,All Employees: Total Nonfarm,1981-04-01,91283.0,0.08,0.4777,0.4777,0.0356,0.04
PAYEMS,All Employees: Total Nonfarm,1981-05-01,91296.0,0.0142,0.9688,0.9688,0.0343,0.0806
PAYEMS,All Employees: Total Nonfarm,1981-06-01,91490.0,0.2125,1.5416,1.5416,0.0448,0.1277
PAYEMS,All Employees: Total Nonfarm,1981-07-01,91601.0,0.1213,1.9602,1.9602,0.049,0.1619
PAYEMS,All Employees: Total Nonfarm,1981-08-01,91565.0,-0.0393,1.6271,1.6271,0.0444,0.1346
PAYEMS,All Employees: Total Nonfarm,1981-09-01,91477.0,-0.0961,1.4011,1.4011,0.0374,0.1161
PAYEMS,All Employees: Total Nonfarm,1981-10-01,91380.0,-0.106,0.9835,0.9835,0.0305,0.0817
