series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-01-01,37.124,,,,
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-02-01,37.526,1.0829,,1.0829,1.0829
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-03-01,37.987,1.2285,,1.1557,1.1557
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-04-01,38.185,0.5212,,0.9442,0.9442
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-05-01,38.482,0.7778,,0.9026,0.9026
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-06-01,38.725,0.6315,,0.8484,0.8484
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-07-01,39.026,0.7773,,0.8365,0.8365
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-08-01,39.351,0.8328,,0.836,0.836
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-09-01,39.715,0.925,,0.8471,0.8471
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-10-01,40.033,0.8007,,0.842,0.842
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-11-01,40.359,0.8143,,0.8392,0.8392
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1980-12-01,40.621,0.6492,,0.8219,0.8219
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-01-01,41.011,0.9601,10.4703,0.8334,0.8334
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-02-01,41.426,1.0119,10.3928,0.8472,0.8275
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-03-01,41.715,0.6976,9.8139,0.8365,0.7833
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-04-01,41.897,0.4363,9.7211,0.8098,0.7762
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-05-01,42.085,0.4487,9.3628,0.7872,0.7488
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-06-01,42.253,0.3992,9.1104,0.7644,0.7294
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-07-01,42.508,0.6035,8.9223,0.7555,0.7149
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-08-01,42.774,0.6258,8.6986,0.7486,0.6977
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-09-01,43.033,0.6055,8.3545,0.7415,0.6711
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-10-01,43.228,0.4531,7.9809,0.7278,0.6421
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-11-01,43.46,0.5367,7.6835,0.7191,0.619
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1981-12-01,43.594,0.3083,7.3189,0.7012,0.5906
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-01-01,43.853,0.5941,6.9298,0.6968,0.5601
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-02-01,43.985,0.301,6.1773,0.6809,0.5008
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-03-01,44.098,0.2569,5.7126,0.6646,0.4641
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-04-01,44.12,0.0499,5.3059,0.6418,0.4319
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-05-01,44.382,0.5938,5.458,0.6401,0.444
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-06-01,44.704,0.7255,5.8008,0.6431,0.4712
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-07-01,44.969,0.5928,5.7895,0.6414,0.4703
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-08-01,45.108,0.3091,5.4566,0.6307,0.4439
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-09-01,45.233,0.2771,5.1124,0.6196,0.4165
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-10-01,45.487,0.5615,5.2258,0.6179,0.4256
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-11-01,45.624,0.3012,4.9793,0.6086,0.4059
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1982-12-01,45.693,0.1512,4.8149,0.5955,0.3929
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-01-01,45.906,0.4662,4.6815,0.5919,0.3822
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-02-01,45.984,0.1699,4.5447,0.5665,0.3713
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-03-01,46.043,0.1283,4.4106,0.536,0.3605
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-04-01,46.253,0.4561,4.8345,0.5342,0.3944
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-05-01,46.384,0.2832,4.5108,0.5204,0.3685
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-06-01,46.557,0.373,4.145,0.5132,0.3391
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-07-01,46.82,0.5649,4.1162,0.5073,0.3368
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-08-01,47.02,0.4272,4.2387,0.4961,0.3467
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-09-01,47.185,0.3509,4.3154,0.4801,0.3528
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-10-01,47.265,0.1695,3.9088,0.4626,0.3201
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-11-01,47.332,0.1418,3.7436,0.4439,0.3068
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1983-12-01,47.358,0.0549,3.6439,0.4274,0.2988
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-01-01,47.564,0.435,3.6117,0.4128,0.2962
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-02-01,47.884,0.6728,4.1319,0.4034,0.3381
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-03-01,48.041,0.3279,4.3394,0.3931,0.3548
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-04-01,48.224,0.3809,4.2613,0.3916,0.3485
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-05-01,48.285,0.1265,4.0984,0.3826,0.3354
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-06-01,48.371,0.1781,3.8963,0.3765,0.3192
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-07-01,48.544,0.3577,3.6822,0.3697,0.3019
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-08-01,48.693,0.3069,3.5581,0.3608,0.2919
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-09-01,48.759,0.1355,3.3358,0.3478,0.274
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-10-01,48.874,0.2359,3.4042,0.3417,0.2795
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-11-01,48.943,0.1412,3.4036,0.3307,0.2794
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1984-12-01,49.081,0.282,3.6382,0.33,0.2984
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1985-01-01,49.326,0.4992,3.7045,0.3274,0.3037
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1985-02-01,49.555,0.4643,3.4897,0.3319,0.2863
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1985-03-01,49.749,0.3915,3.5553,0.3356,0.2916
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1985-04-01,49.821,0.1447,3.3116,0.3383,0.2719
PCEPI,Personal Consumption Expenditures: Chain-type Price Index,1985-05-01,49.939,0.2368,3.4255,0.3284,0.2811
