series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
PPIACO,Producer Price Index: All Commodities,1980-01-01,85.2,,,,
PPIACO,Producer Price Index: All Commodities,1980-02-01,86.9,1.9953,,1.9953,1.9953
PPIACO,Producer Price Index: All Commodities,1980-03-01,87.5,0.6904,,1.3429,1.3429
PPIACO,Producer Price Index: All Commodities,1980-04-01,87.8,0.3429,,1.0095,1.0095
PPIACO,Producer Price Index: All Commodities,1980-05-01,88.3,0.5695,,0.8995,0.8995
PPIACO,Producer Price Index: All Commodities,1980-06-01,88.7,0.453,,0.8102,0.8102
PPIACO,Producer Price Index: All Commodities,1980-07-01,90.3,1.8038,,0.9758,0.9758
PPIACO,Producer Price Index: All Commodities,1980-08-01,91.5,1.3289,,1.0263,1.0263
PPIACO,Producer Price Index: All Commodities,1980-09-01,91.7,0.2186,,0.9253,0.9253
PPIACO,Producer Price Index: All Commodities,1980-10-01,92.8,1.1996,,0.9558,0.9558
PPIACO,Producer Price Index: All Commodities,1980-11-01,93.2,0.431,,0.9033,0.9033
PPIACO,Producer Price Index: All Commodities,1980-12-01,93.8,0.6438,,0.8797,0.8797
PPIACO,Producer Price Index: All Commodities,1981-01-01,95.2,1.4925,11.7371,0.9308,0.9308
PPIACO,Producer Price Index: All Commodities,1981-02-01,96.1,0.9454,10.5869,0.9319,0.8433
PPIACO,Producer Price Index: All Commodities,1981-03-01,97.0,0.9365,10.8571,0.9322,0.8638
PPIACO,Producer Price Index: All Commodities,1981-04-01,98.0,1.0309,11.6173,0.9388,0.9211
PPIACO,Producer Price Index: All Commodities,1981-05-01,98.3,0.3061,11.325,0.8993,0.8992
PPIACO,Producer Price Index: All Commodities,1981-06-01,98.5,0.2035,11.0485,0.8583,0.8784
PPIACO,Producer Price Index: All Commodities,1981-07-01,99.0,0.5076,9.6346,0.8389,0.7704
PPIACO,Producer Price Index: All Commodities,1981-08-01,99.0,0.0,8.1967,0.7947,0.6596
PPIACO,Producer Price Index: All Commodities,1981-09-01,98.8,-0.202,7.7426,0.7449,0.6246
PPIACO,Producer Price Index: All Commodities,1981-10-01,98.9,0.1012,6.5733,0.7142,0.533
PPIACO,Producer Price Index: All Commodities,1981-11-01,98.8,-0.1011,6.0086,0.6772,0.4887
PPIACO,Producer Price Index: All Commodities,1981-12-01,98.8,0.0,5.3305,0.6477,0.4351
PPIACO,Producer Price Index: All Commodities,1982-01-01,99.7,0.9109,4.7269,0.6587,0.3866
PPIACO,Producer Price Index: All Commodities,1982-02-01,99.8,0.1003,3.8502,0.6363,0.3162
PPIACO,Producer Price Index: All Commodities,1982-03-01,99.6,-0.2004,2.6804,0.6042,0.2214
PPIACO,Producer Price Index: All Commodities,1982-04-01,99.6,0.0,1.6327,0.5818,0.1355
PPIACO,Producer Price Index: All Commodities,1982-05-01,99.8,0.2008,1.5259,0.5682,0.1267
PPIACO,Producer Price Index: All Commodities,1982-06-01,100.0,0.2004,1.5228,0.5555,0.1265
PPIACO,Producer Price Index: All Commodities,1982-07-01,100.4,0.4,1.4141,0.5503,0.1175
PPIACO,Producer Price Index: All Commodities,1982-08-01,100.3,-0.0996,1.3131,0.5294,0.1092
PPIACO,Producer Price Index: All Commodities,1982-09-01,100.0,-0.2991,1.2146,0.5035,0.1011
PPIACO,Producer Price Index: All Commodities,1982-10-01,100.2,0.2,1.3145,0.4943,0.1094
PPIACO,Producer Price Index: All Commodities,1982-11-01,100.3,0.0998,1.5182,0.4827,0.1261
PPIACO,Producer Price Index: All Commodities,1982-12-01,100.5,0.1994,1.7206,0.4746,0.1427
PPIACO,Producer Price Index: All Commodities,1983-01-01,100.2,-0.2985,0.5015,0.4531,0.0419
PPIACO,Producer Price Index: All Commodities,1983-02-01,100.5,0.2994,0.7014,0.406,0.0585
PPIACO,Producer Price Index: All Commodities,1983-03-01,100.4,-0.0995,0.8032,0.384,0.0669
PPIACO,Producer Price Index: All Commodities,1983-04-01,100.4,0.0,0.8032,0.3745,0.0669
PPIACO,Producer Price Index: All Commodities,1983-05-01,100.8,0.3984,1.002,0.3698,0.0834
PPIACO,Producer Price Index: All Commodities,1983-06-01,101.0,0.1984,1.0,0.3627,0.0832
PPIACO,Producer Price Index: All Commodities,1983-07-01,101.3,0.297,0.8964,0.3208,0.0746
PPIACO,Producer Price Index: All Commodities,1983-08-01,101.8,0.4936,1.4955,0.2976,0.1241
PPIACO,Producer Price Index: All Commodities,1983-09-01,102.0,0.1965,2.0,0.297,0.1654
PPIACO,Producer Price Index: All Commodities,1983-10-01,102.2,0.1961,1.996,0.2691,0.165
PPIACO,Producer Price Index: All Commodities,1983-11-01,102.1,-0.0978,1.7946,0.2545,0.1486
PPIACO,Producer Price Index: All Commodities,1983-12-01,102.3,0.1959,1.791,0.242,0.1483
PPIACO,Producer Price Index: All Commodities,1984-01-01,102.9,0.5865,2.6946,0.2168,0.222
PPIACO,Producer Price Index: All Commodities,1984-02-01,103.2,0.2915,2.6866,0.1987,0.2214
PPIACO,Producer Price Index: All Commodities,1984-03-01,103.9,0.6783,3.4861,0.1915,0.2862
PPIACO,Producer Price Index: All Commodities,1984-04-01,104.0,0.0962,3.5857,0.1656,0.2942
PPIACO,Producer Price Index: All Commodities,1984-05-01,104.1,0.0962,3.2738,0.1597,0.269
PPIACO,Producer Price Index: All Commodities,1984-06-01,104.0,-0.0961,2.9703,0.1514,0.2445
PPIACO,Producer Price Index: All Commodities,1984-07-01,104.2,0.1923,2.8628,0.1426,0.2358
PPIACO,Producer Price Index: All Commodities,1984-08-01,103.8,-0.3839,1.9646,0.132,0.1626
PPIACO,Producer Price Index: All Commodities,1984-09-01,103.4,-0.3854,1.3725,0.1269,0.1142
PPIACO,Producer Price Index: All Commodities,1984-10-01,103.4,0.0,1.1742,0.1241,0.0978
PPIACO,Producer Price Index: All Commodities,1984-11-01,103.7,0.2901,1.5671,0.1349,0.1301
PPIACO,Producer Price Index: All Commodities,1984-12-01,103.5,-0.1929,1.173,0.1296,0.0978
PPIACO,Producer Price Index: All Commodities,1985-01-01,103.4,-0.0966,0.4859,0.1016,0.0408
PPIACO,Producer Price Index: All Commodities,1985-02-01,103.3,-0.0967,0.0969,0.0961,0.0085
PPIACO,Producer Price Index: All Commodities,1985-03-01,103.1,-0.1936,-0.77,0.0963,-0.0642
PPIACO,Producer Price Index: All Commodities,1985-04-01,103.3,0.194,-0.6731,0.1017,-0.056
PPIACO,Producer Price Index: All Commodities,1985-05-01,103.5,0.1936,-0.5764,0.1015,-0.0479
PPIACO,Producer Price Index: All Commodities,1985-06-01,103.3,-0.1932,-0.6731,0.0906,-0.056
PPIACO,Producer Price Index: All Commodities,1985-07-01,103.2,-0.0968,-0.9597,0.0768,-0.0801
PPIACO,Producer Price Index: All Commodities,1985-08-01,102.7,-0.4845,-1.0597,0.0661,-0.0885
PPIACO,Producer Price Index: All Commodities,1985-09-01,102.1,-0.5842,-1.2573,0.0582,-0.1051
PPIACO,Producer Price Index: All Commodities,1985-10-01,102.9,0.7835,-0.4836,0.0744,-0.0398
PPIACO,Producer Price Index: All Commodities,1985-11-01,103.4,0.4859,-0.2893,0.0851,-0.0235
PPIACO,Producer Price Index: All Commodities,1985-12-01,103.6,0.1934,0.0966,0.0849,0.0087
PPIACO,Producer Price Index: All Commodities,1986-01-01,103.2,-0.3861,-0.1934,0.0825,-0.0154
PPIACO,Producer Price Index: All Commodities,1986-02-01,101.7,-1.4535,-1.5489,0.0338,-0.1285
PPIACO,Producer Price Index: All Commodities,1986-03-01,100.3,-1.3766,-2.7158,-0.0017,-0.227
PPIACO,Producer Price Index: All Commodities,1986-04-01,99.6,-0.6979,-3.5818,-0.0211,-0.3014
PPIACO,Producer Price Index: All Commodities,1986-05-01,100.0,0.4016,-3.3816,-0.021,-0.284
PPIACO,Producer Price Index: All Commodities,1986-06-01,99.9,-0.1,-3.2914,-0.0293,-0.2763
PPIACO,Producer Price Index: All Commodities,1986-07-01,99.4,-0.5005,-3.6822,-0.0514,-0.3099
PPIACO,Producer Price Index: All Commodities,1986-08-01,99.3,-0.1006,-3.3106,-0.0679,-0.2779
PPIACO,Producer Price Index: All Commodities,1986-09-01,99.4,0.1007,-2.6445,-0.0706,-0.2208
PPIACO,Producer Price Index: All Commodities,1986-10-01,99.7,0.3018,-3.1098,-0.0676,-0.261
PPIACO,Producer Price Index: All Commodities,1986-11-01,99.8,0.1003,-3.4816,-0.0621,-0.2931
PPIACO,Producer Price Index: All Commodities,1986-12-01,99.7,-0.1002,-3.7645,-0.0704,-0.3176
PPIACO,Producer Price Index: All Commodities,1987-01-01,100.5,0.8024,-2.6163,-0.0644,-0.2185
PPIACO,Producer Price Index: All Commodities,1987-02-01,101.0,0.4975,-0.6883,-0.0586,-0.056
PPIACO,Producer Price Index: All Commodities,1987-03-01,101.2,0.198,0.8973,-0.072,0.0753
PPIACO,Producer Price Index: All Commodities,1987-04-01,101.9,0.6917,2.3092,-0.0554,0.1911
PPIACO,Producer Price Index: All Commodities,1987-05-01,102.6,0.6869,2.6,-0.039,0.2148
PPIACO,Producer Price Index: All Commodities,1987-06-01,103.0,0.3899,3.1031,-0.0255,0.2557
PPIACO,Producer Price Index: All Commodities,1987-07-01,103.5,0.4854,4.1247,-0.0174,0.3378
PPIACO,Producer Price Index: All Commodities,1987-08-01,103.8,0.2899,4.5317,0.0013,0.3704
PPIACO,Producer Price Index: All Commodities,1987-09-01,103.7,-0.0963,4.326,0.0093,0.3539
PPIACO,Producer Price Index: All Commodities,1987-10-01,104.1,0.3857,4.4132,0.0201,0.3609
PPIACO,Producer Price Index: All Commodities,1987-11-01,104.2,0.0961,4.4088,0.0147,0.3606
PPIACO,Producer Price Index: All Commodities,1987-12-01,104.2,0.0,4.5135,0.02,0.3689
PPIACO,Producer Price Index: All Commodities,1988-01-01,104.6,0.3839,4.0796,0.0334,0.3341
PPIACO,Producer Price Index: All Commodities,1988-02-01,104.8,0.1912,3.7624,0.0414,0.3085
PPIACO,Producer Price Index: All Commodities,1988-03-01,104.9,0.0954,3.6561,0.0494,0.3
PPIACO,Producer Price Index: All Commodities,1988-04-01,105.8,0.858,3.8273,0.0678,0.3138
PPIACO,Producer Price Index: All Commodities,1988-05-01,106.5,0.6616,3.8012,0.0808,0.3117
PPIACO,Producer Price Index: All Commodities,1988-06-01,107.2,0.6573,4.0777,0.1045,0.334
PPIACO,Producer Price Index: All Commodities,1988-07-01,107.9,0.653,4.2512,0.1253,0.348
PPIACO,Producer Price Index: All Commodities,1988-08-01,108.0,0.0927,4.0462,0.1413,0.3315
PPIACO,Producer Price Index: All Commodities,1988-09-01,108.1,0.0926,4.243,0.1601,0.3473
PPIACO,Producer Price Index: All Commodities,1988-10-01,108.2,0.0925,3.9385,0.1409,0.3228
PPIACO,Producer Price Index: All Commodities,1988-11-01,108.3,0.0924,3.9347,0.13,0.3225
PPIACO,Producer Price Index: All Commodities,1988-12-01,109.0,0.6464,4.6065,0.1426,0.3764
PPIACO,Producer Price Index: All Commodities,1989-01-01,110.5,1.3761,5.6405,0.1915,0.4591
PPIACO,Producer Price Index: All Commodities,1989-02-01,110.8,0.2715,5.7252,0.2395,0.4658
PPIACO,Producer Price Index: All Commodities,1989-03-01,111.5,0.6318,6.2917,0.2952,0.5105
PPIACO,Producer Price Index: All Commodities,1989-04-01,112.3,0.7175,6.1437,0.3346,0.4988
PPIACO,Producer Price Index: All Commodities,1989-05-01,113.2,0.8014,6.2911,0.3457,0.5104
PPIACO,Producer Price Index: All Commodities,1989-06-01,112.9,-0.265,5.3172,0.3411,0.4336
PPIACO,Producer Price Index: All Commodities,1989-07-01,112.8,-0.0886,4.5412,0.3525,0.3718
PPIACO,Producer Price Index: All Commodities,1989-08-01,112.0,-0.7092,3.7037,0.3356,0.3049
PPIACO,Producer Price Index: All Commodities,1989-09-01,112.4,0.3571,3.9778,0.3427,0.327
PPIACO,Producer Price Index: All Commodities,1989-10-01,112.8,0.3559,4.2514,0.3442,0.3489
PPIACO,Producer Price Index: All Commodities,1989-11-01,112.7,-0.0887,4.0628,0.339,0.3339
PPIACO,Producer Price Index: All Commodities,1989-12-01,113.0,0.2662,3.6697,0.3492,0.3022
PPIACO,Producer Price Index: All Commodities,1990-01-01,114.9,1.6814,3.9819,0.3736,0.3276
PPIACO,Producer Price Index: All Commodities,1990-02-01,114.4,-0.4352,3.2491,0.3477,0.2687
PPIACO,Producer Price Index: All Commodities,1990-03-01,114.2,-0.1748,2.4215,0.3373,0.2015
PPIACO,Producer Price Index: All Commodities,1990-04-01,114.1,-0.0876,1.6028,0.3157,0.1344
PPIACO,Producer Price Index: All Commodities,1990-05-01,114.6,0.4382,1.2367,0.3088,0.1042
PPIACO,Producer Price Index: All Commodities,1990-06-01,114.3,-0.2618,1.24,0.2907,0.1044
PPIACO,Producer Price Index: All Commodities,1990-07-01,114.5,0.175,1.5071,0.282,0.1264
PPIACO,Producer Price Index: All Commodities,1990-08-01,116.5,1.7467,4.0179,0.3225,0.331
PPIACO,Producer Price Index: All Commodities,1990-09-01,118.4,1.6309,5.3381,0.3705,0.4372
PPIACO,Producer Price Index: All Commodities,1990-10-01,120.8,2.027,7.0922,0.4161,0.5765
PPIACO,Producer Price Index: All Commodities,1990-11-01,120.1,-0.5795,6.5661,0.3973,0.5356
PPIACO,Producer Price Index: All Commodities,1990-12-01,118.7,-1.1657,5.0442,0.3649,0.4162
PPIACO,Producer Price Index: All Commodities,1991-01-01,119.0,0.2527,3.5683,0.3613,0.2972
PPIACO,Producer Price Index: All Commodities,1991-02-01,117.2,-1.5126,2.4476,0.314,0.2074
PPIACO,Producer Price Index: All Commodities,1991-03-01,116.2,-0.8532,1.7513,0.2876,0.1509
PPIACO,Producer Price Index: All Commodities,1991-04-01,116.0,-0.1721,1.6652,0.259,0.1438
PPIACO,Producer Price Index: All Commodities,1991-05-01,116.5,0.431,1.6579,0.2526,0.1432
PPIACO,Producer Price Index: All Commodities,1991-06-01,116.4,-0.0858,1.8373,0.232,0.1579
PPIACO,Producer Price Index: All Commodities,1991-07-01,116.1,-0.2577,1.3974,0.2067,0.1218
PPIACO,Producer Price Index: All Commodities,1991-08-01,116.2,0.0861,-0.2575,0.2065,-0.0166
PPIACO,Producer Price Index: All Commodities,1991-09-01,116.1,-0.0861,-1.9426,0.2015,-0.1597
PPIACO,Producer Price Index: All Commodities,1991-10-01,116.4,0.2584,-3.6424,0.2061,-0.307
PPIACO,Producer Price Index: All Commodities,1991-11-01,116.4,0.0,-3.0808,0.2036,-0.2587
PPIACO,Producer Price Index: All Commodities,1991-12-01,115.9,-0.4296,-2.3589,0.1737,-0.1974
PPIACO,Producer Price Index: All Commodities,1992-01-01,115.6,-0.2588,-2.8571,0.1282,-0.24
PPIACO,Producer Price Index: All Commodities,1992-02-01,116.0,0.346,-1.0239,0.1303,-0.0851
PPIACO,Producer Price Index: All Commodities,1992-03-01,116.1,0.0862,-0.0861,0.1152,-0.0069
PPIACO,Producer Price Index: All Commodities,1992-04-01,116.3,0.1723,0.2586,0.1,0.0218
PPIACO,Producer Price Index: All Commodities,1992-05-01,117.2,0.7739,0.6009,0.0993,0.0504
PPIACO,Producer Price Index: All Commodities,1992-06-01,118.0,0.6826,1.3746,0.1256,0.1144
PPIACO,Producer Price Index: All Commodities,1992-07-01,117.9,-0.0847,1.5504,0.1257,0.1289
PPIACO,Producer Price Index: All Commodities,1992-08-01,117.7,-0.1696,1.2909,0.1407,0.1075
PPIACO,Producer Price Index: All Commodities,1992-09-01,118.0,0.2549,1.6365,0.1378,0.136
PPIACO,Producer Price Index: All Commodities,1992-10-01,118.1,0.0847,1.4605,0.1303,0.1215
PPIACO,Producer Price Index: All Commodities,1992-11-01,117.8,-0.254,1.2027,0.1257,0.1003
PPIACO,Producer Price Index: All Commodities,1992-12-01,117.6,-0.1698,1.4668,0.1136,0.122
PPIACO,Producer Price Index: All Commodities,1993-01-01,118.0,0.3401,2.0761,0.0763,0.1719
PPIACO,Producer Price Index: All Commodities,1993-02-01,118.4,0.339,2.069,0.0978,0.1713
PPIACO,Producer Price Index: All Commodities,1993-03-01,118.7,0.2534,2.2394,0.1097,0.1852
PPIACO,Producer Price Index: All Commodities,1993-04-01,119.3,0.5055,2.5795,0.1262,0.213
PPIACO,Producer Price Index: All Commodities,1993-05-01,119.7,0.3353,2.1331,0.1234,0.1764
PPIACO,Producer Price Index: All Commodities,1993-06-01,119.5,-0.1671,1.2712,0.126,0.1056
PPIACO,Producer Price Index: All Commodities,1993-07-01,119.2,-0.251,1.1026,0.1141,0.0918
PPIACO,Producer Price Index: All Commodities,1993-08-01,118.7,-0.4195,0.8496,0.054,0.071
PPIACO,Producer Price Index: All Commodities,1993-09-01,118.7,0.0,0.5932,0.0087,0.0497
PPIACO,Producer Price Index: All Commodities,1993-10-01,119.1,0.337,0.8467,-0.0383,0.0707
PPIACO,Producer Price Index: All Commodities,1993-11-01,119.0,-0.084,1.0187,-0.0245,0.0849
PPIACO,Producer Price Index: All Commodities,1993-12-01,118.6,-0.3361,0.8503,-0.0015,0.071
PPIACO,Producer Price Index: All Commodities,1994-01-01,119.1,0.4216,0.9322,0.0032,0.0778
PPIACO,Producer Price Index: All Commodities,1994-02-01,119.3,0.1679,0.7601,0.0499,0.0636
PPIACO,Producer Price Index: All Commodities,1994-03-01,119.7,0.3353,0.8425,0.0829,0.0704
PPIACO,Producer Price Index: All Commodities,1994-04-01,119.7,0.0,0.3353,0.0877,0.0283
