series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-01-01,159177.0,,,,
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-02-01,159189.0,0.0075,,0.0075,0.0075
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-03-01,158647.0,-0.3405,,-0.1665,-0.1665
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-04-01,159921.0,0.803,,0.1567,0.1567
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-05-01,160471.0,0.3439,,0.2035,0.2035
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-06-01,161205.0,0.4574,,0.2543,0.2543
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-07-01,162855.0,1.0235,,0.3825,0.3825
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-08-01,162412.0,-0.272,,0.289,0.289
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-09-01,164361.0,1.2,,0.4029,0.4029
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-10-01,166063.0,1.0355,,0.4732,0.4732
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-11-01,166124.0,0.0367,,0.4295,0.4295
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1992-12-01,167691.0,0.9433,,0.4762,0.4762
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-01-01,169500.0,1.0788,6.4852,0.5264,0.5264
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-02-01,168840.0,-0.3894,6.0626,0.456,0.4934
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-03-01,167682.0,-0.6859,5.695,0.3744,0.4646
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-04-01,172102.0,2.6359,7.6169,0.5252,0.6173
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-05-01,172960.0,0.4985,7.7827,0.5235,0.6302
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-06-01,173018.0,0.0335,7.3279,0.4947,0.5949
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-07-01,175822.0,1.6206,7.9623,0.5573,0.6446
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-08-01,175233.0,-0.335,7.8941,0.5103,0.6394
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-09-01,176608.0,0.7847,7.4513,0.524,0.6048
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-10-01,177588.0,0.5549,6.9401,0.5255,0.5647
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-11-01,179758.0,1.2219,8.2071,0.5571,0.6635
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1993-12-01,181077.0,0.7338,7.9825,0.5648,0.646
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-01-01,179615.0,-0.8074,5.9676,0.5076,0.4889
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-02-01,183101.0,1.9408,8.4465,0.565,0.683
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-03-01,186721.0,1.9771,11.3542,0.6193,0.905
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-04-01,186423.0,-0.1596,8.3212,0.5904,0.672
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-05-01,185616.0,-0.4329,7.3173,0.5539,0.5944
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-06-01,187800.0,1.1766,8.5436,0.5754,0.6896
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-07-01,188062.0,0.1395,6.9616,0.5608,0.5662
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-08-01,190771.0,1.4405,8.8671,0.5892,0.7142
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-09-01,192585.0,0.9509,9.0466,0.6005,0.728
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-10-01,193914.0,0.6901,9.1932,0.6032,0.7393
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-11-01,194425.0,0.2635,8.1593,0.5932,0.6594
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1994-12-01,194939.0,0.2644,7.6553,0.5838,0.6203
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-01-01,195908.0,0.4971,9.0711,0.5814,0.729
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-02-01,193068.0,-1.4497,5.4434,0.541,0.4465
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-03-01,195179.0,1.0934,4.5298,0.5808,0.3728
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-04-01,195310.0,0.0671,4.7671,0.5603,0.3917
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-05-01,198060.0,1.408,6.7042,0.5899,0.5451
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-06-01,200383.0,1.1729,6.7002,0.6098,0.5448
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-07-01,199110.0,-0.6353,5.8747,0.5637,0.4802
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-08-01,201078.0,0.9884,5.4028,0.5987,0.4426
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-09-01,201337.0,0.1288,4.5445,0.5689,0.3741
RSAFS,Advance Retail Sales: Retail Trade and Food Services,1995-10-01,200597.0,-0.3675,3.4464,0.53,0.2859
