series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-01-01,3743.0,,,,
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-02-01,3782.0,1.0419,,1.0419,1.0419
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-03-01,3773.0,-0.238,,0.402,0.402
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-04-01,3835.0,1.6433,,0.8157,0.8157
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-05-01,3850.0,0.3911,,0.7096,0.7096
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-06-01,3843.0,-0.1818,,0.5313,0.5313
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-07-01,3993.0,3.9032,,1.0933,1.0933
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-08-01,3922.0,-1.7781,,0.6831,0.6831
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-09-01,3952.0,0.7649,,0.6933,0.6933
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-10-01,4031.0,1.999,,0.8384,0.8384
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-11-01,4016.0,-0.3721,,0.7173,0.7173
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1992-12-01,4112.0,2.3904,,0.8694,0.8694
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-01-01,4281.0,4.1099,14.3735,1.1395,1.1395
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-02-01,4208.0,-1.7052,11.2639,0.9207,0.9106
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-03-01,4265.0,1.3546,13.04,0.9517,1.0433
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-04-01,4322.0,1.3365,12.6988,0.9773,1.0177
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-05-01,4359.0,0.8561,13.2208,0.9697,1.0564
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-06-01,4441.0,1.8812,15.5608,1.0233,1.2284
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-07-01,4490.0,1.1034,12.4468,1.0278,0.995
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-08-01,4488.0,-0.0445,14.4314,0.9714,1.1395
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-09-01,4579.0,2.0276,15.8654,1.0242,1.2447
RSEAS,Advance Retail Sales: Electronics and Appliance Stores,1993-10-01,4546.0,-0.7207,12.776,0.9411,1.0181
