series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-01-01,4087.0,,,,
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-02-01,4177.0,2.2021,,2.2021,2.2021
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-03-01,4172.0,-0.1197,,1.0412,1.0412
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-04-01,4182.0,0.2397,,0.774,0.774
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-05-01,4159.0,-0.55,,0.443,0.443
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-06-01,4239.0,1.9235,,0.7391,0.7391
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-07-01,4195.0,-1.038,,0.4429,0.4429
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-08-01,4202.0,0.1669,,0.4035,0.4035
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-09-01,4182.0,-0.476,,0.2936,0.2936
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-10-01,4130.0,-1.2434,,0.1228,0.1228
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-11-01,4193.0,1.5254,,0.2631,0.2631
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1992-12-01,4260.0,1.5979,,0.3844,0.3844
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-01-01,4468.0,4.8826,9.3222,0.7593,0.7593
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-02-01,4339.0,-2.8872,3.8784,0.4788,0.3352
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-03-01,4304.0,-0.8066,3.164,0.3869,0.2779
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-04-01,4392.0,2.0446,5.0215,0.4975,0.4283
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-05-01,4473.0,1.8443,7.5499,0.5816,0.6278
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-06-01,4446.0,-0.6036,4.8832,0.5119,0.4172
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-07-01,4473.0,0.6073,6.6269,0.5172,0.5543
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-08-01,4480.0,0.1565,6.6159,0.4982,0.5535
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-09-01,4468.0,-0.2679,6.8388,0.4599,0.5708
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-10-01,4499.0,0.6938,8.9346,0.4711,0.7323
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-11-01,4528.0,0.6446,7.9895,0.4789,0.6589
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1993-12-01,4523.0,-0.1104,6.1737,0.4533,0.5165
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-01-01,4420.0,-2.2772,-1.0743,0.3395,-0.0802
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-02-01,4608.0,4.2534,6.1996,0.4961,0.5149
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-03-01,4734.0,2.7344,9.9907,0.5822,0.81
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-04-01,4747.0,0.2746,8.0829,0.5708,0.6625
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-05-01,4804.0,1.2008,7.4,0.5933,0.6088
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-06-01,4832.0,0.5828,8.682,0.5929,0.7077
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-07-01,4877.0,0.9313,9.032,0.6042,0.7347
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-08-01,4992.0,2.358,11.4286,0.6608,0.9182
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-09-01,5002.0,0.2003,11.9517,0.6464,0.9572
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-10-01,5082.0,1.5994,12.9584,0.6753,1.0327
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-11-01,5020.0,-1.22,10.8657,0.6195,0.8773
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1994-12-01,5076.0,1.1155,12.2264,0.6337,0.9794
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1995-01-01,5103.0,0.5319,15.4525,0.6309,1.2135
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1995-02-01,4919.0,-3.6057,6.7491,0.4695,0.5586
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1995-03-01,4957.0,0.7725,4.7106,0.4943,0.3951
RSFHFS,Advance Retail Sales: Furniture and Home Furnishings Stores,1995-04-01,5015.0,1.1701,5.6457,0.5202,0.4697
