series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-01-01,16758.0,,,,,
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-02-01,16605.0,-0.913,,,-0.913,-0.913
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-03-01,16527.0,-0.4697,,,-0.6914,-0.6914
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-04-01,16262.0,-1.6034,,,-0.9954,-0.9954
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-05-01,16232.0,-0.1845,,,-0.7927,-0.7927
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-06-01,15932.0,-1.8482,,,-1.0038,-1.0038
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-07-01,16112.0,1.1298,,,-0.6482,-0.6482
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-08-01,16342.0,1.4275,,,-0.3516,-0.3516
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-09-01,16429.0,0.5324,,,-0.2411,-0.2411
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-10-01,16717.0,1.753,,,-0.0196,-0.0196
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-11-01,16993.0,1.651,,,0.1475,0.1475
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1992-12-01,17113.0,0.7062,,,0.1983,0.1983
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-01-01,17171.0,0.3389,2.4645,2.4645,0.21,0.21
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-02-01,17098.0,-0.4251,2.969,2.969,0.1611,0.2506
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-03-01,17157.0,0.3451,3.8119,3.8119,0.1743,0.3186
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-04-01,17382.0,1.3114,6.8872,6.8872,0.2501,0.5615
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-05-01,17423.0,0.2359,7.3374,7.3374,0.2492,0.5965
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-06-01,17665.0,1.389,10.8775,10.8775,0.3162,0.8662
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-07-01,17555.0,-0.6227,8.9561,8.9561,0.2641,0.7202
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-08-01,17808.0,1.4412,8.9708,8.9708,0.326,0.7213
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-09-01,18073.0,1.4881,10.0067,10.0067,0.3841,0.801
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-10-01,17815.0,-1.4275,6.5682,6.5682,0.2979,0.5359
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-11-01,17754.0,-0.3424,4.4783,4.4783,0.2688,0.3698
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1993-12-01,17819.0,0.3661,4.1255,4.1255,0.273,0.3415
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-01-01,17246.0,-3.2157,0.4368,0.4368,0.1276,0.0453
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-02-01,18026.0,4.5228,5.4275,5.4275,0.3034,0.4576
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-03-01,18391.0,2.0249,7.1924,7.1924,0.3696,0.5976
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-04-01,18161.0,-1.2506,4.4816,4.4816,0.3096,0.3841
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-05-01,18204.0,0.2368,4.4826,4.4826,0.307,0.3842
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-06-01,18463.0,1.4228,4.5174,4.5174,0.3455,0.387
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-07-01,18548.0,0.4604,5.6565,5.6565,0.3493,0.4772
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-08-01,18439.0,-0.5877,3.5434,3.5434,0.3191,0.3082
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-09-01,18567.0,0.6942,2.7334,2.7334,0.3308,0.242
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-10-01,18605.0,0.2047,4.4345,4.4345,0.327,0.378
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-11-01,18664.0,0.3171,5.1256,5.1256,0.3267,0.433
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1994-12-01,18771.0,0.5733,5.3426,5.3426,0.3338,0.4502
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-01-01,18772.0,0.0053,8.8484,8.8484,0.3246,0.7187
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-02-01,18508.0,-1.4063,2.6739,2.6739,0.3109,0.2246
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-03-01,18803.0,1.5939,2.2402,2.2402,0.3683,0.1886
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-04-01,18957.0,0.819,4.383,4.383,0.4356,0.3611
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-05-01,19040.0,0.4378,4.5924,4.5924,0.4528,0.3779
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-06-01,19001.0,-0.2048,2.9139,2.9139,0.4985,0.2422
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-07-01,19091.0,0.4737,2.9275,2.9275,0.4803,0.2433
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-08-01,19291.0,1.0476,4.6206,4.6206,0.4697,0.3796
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-09-01,19263.0,-0.1451,3.7486,3.7486,0.4509,0.3097
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-10-01,19186.0,-0.3997,3.1228,3.1228,0.3911,0.2593
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-11-01,19218.0,0.1668,2.9683,2.9683,0.3499,0.2468
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1995-12-01,19191.0,-0.1405,2.2375,2.2375,0.3263,0.1873
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1996-01-01,19157.0,-0.1772,2.0509,2.0509,0.312,0.1721
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1996-02-01,19299.0,0.7412,4.2738,4.2738,0.3444,0.3511
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1996-03-01,19413.0,0.5907,3.2442,3.2442,0.3512,0.2675
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1996-04-01,19516.0,0.5306,2.9488,2.9488,0.3295,0.2434
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1996-05-01,19613.0,0.497,3.0095,3.0095,0.3368,0.2484
RSFSDP,Advance Retail Sales: Food Services and Drinking Places,1996-06-01,19514.0,-0.5048,2.6999,2.6999,0.2842,0.2234
