series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-01-01,32679.0,,,,
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-02-01,32806.0,0.3886,,0.3886,0.3886
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-03-01,32453.0,-1.076,,-0.3437,-0.3437
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-04-01,32951.0,1.5345,,0.2824,0.2824
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-05-01,33197.0,0.7466,,0.3984,0.3984
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-06-01,33912.0,2.1538,,0.7495,0.7495
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-07-01,34599.0,2.0258,,0.9622,0.9622
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-08-01,33159.0,-4.162,,0.2302,0.2302
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-09-01,35042.0,5.6787,,0.9113,0.9113
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-10-01,35174.0,0.3767,,0.8519,0.8519
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-11-01,34964.0,-0.597,,0.707,0.707
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1992-12-01,35563.0,1.7132,,0.7984,0.7984
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-01-01,36088.0,1.4763,10.4318,0.8549,0.8549
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-02-01,35748.0,-0.9421,8.9679,0.7167,0.744
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-03-01,35239.0,-1.4239,8.5847,0.5638,0.715
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-04-01,37718.0,7.0348,14.4669,0.9952,1.1734
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-05-01,37792.0,0.1962,13.8416,0.9453,1.1275
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-06-01,37925.0,0.3519,11.8336,0.9104,0.9774
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-07-01,39345.0,3.7442,13.7172,1.0678,1.1206
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-08-01,39289.0,-0.1423,18.4867,1.0041,1.4556
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-09-01,39375.0,0.2189,12.3652,0.9648,1.0006
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-10-01,39654.0,0.7086,12.7367,0.9526,1.0282
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-11-01,41141.0,3.7499,17.6667,1.0798,1.3905
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1993-12-01,41939.0,1.9397,17.9287,1.1172,1.4093
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-01-01,41231.0,-1.6882,14.2513,1.0003,1.1456
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-02-01,42712.0,3.592,19.4808,1.104,1.5235
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-03-01,43781.0,2.5028,24.2402,1.1578,1.8507
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-04-01,43836.0,0.1256,16.2204,1.1195,1.2749
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-05-01,43238.0,-1.3642,14.4105,1.0308,1.1449
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-06-01,43525.0,0.6638,14.766,1.0182,1.1709
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-07-01,43050.0,-1.0913,9.4167,0.9479,0.7679
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-08-01,44176.0,2.6156,12.4386,1.0016,0.9978
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-09-01,45325.0,2.601,15.1111,1.0516,1.1963
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-10-01,45686.0,0.7965,15.2116,1.0439,1.2036
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-11-01,46294.0,1.3308,12.5252,1.0523,1.002
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1994-12-01,45770.0,-1.1319,9.1347,0.9899,0.746
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-01-01,45993.0,0.4872,11.5496,0.976,0.9273
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-02-01,44817.0,-2.5569,4.9284,0.8941,0.4149
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-03-01,45823.0,2.2447,4.6641,0.9864,0.3934
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-04-01,45632.0,-0.4168,4.0971,0.9322,0.3482
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-05-01,47129.0,3.2806,8.999,1.0026,0.7353
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-06-01,48706.0,3.3461,11.9035,1.0357,0.9588
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-07-01,47332.0,-2.821,9.9466,0.9011,0.8147
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-08-01,48852.0,3.2114,10.5849,1.1059,0.8643
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-09-01,47693.0,-2.3725,5.2245,0.8822,0.4498
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-10-01,48281.0,1.2329,5.6801,0.906,0.4862
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-11-01,48997.0,1.483,5.8388,0.9638,0.4989
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1995-12-01,48505.0,-1.0041,5.9755,0.8883,0.5095
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-01-01,49530.0,2.1132,7.6903,0.906,0.645
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-02-01,51291.0,3.5554,14.4454,1.0309,1.1544
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-03-01,50513.0,-1.5168,10.235,1.0283,0.8409
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-04-01,50730.0,0.4296,11.172,0.8449,0.9115
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-05-01,51572.0,1.6598,9.4273,0.8855,0.7764
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-06-01,50083.0,-2.8872,2.8272,0.7955,0.257
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-07-01,51210.0,2.2503,8.1932,0.7541,0.6796
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-08-01,50181.0,-2.0094,2.7205,0.7022,0.2445
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-09-01,51865.0,3.3559,8.7476,0.7893,0.7219
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-10-01,52604.0,1.4249,8.9538,0.8092,0.7379
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-11-01,51296.0,-2.4865,4.6921,0.636,0.4071
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1996-12-01,51613.0,0.618,6.4076,0.5993,0.5422
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-01-01,53055.0,2.7939,7.1169,0.7238,0.599
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-02-01,53319.0,0.4976,3.9539,0.6378,0.3442
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-03-01,53189.0,-0.2438,5.2976,0.5615,0.4502
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-04-01,52293.0,-1.6846,3.081,0.5112,0.2741
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-05-01,51236.0,-2.0213,-0.6515,0.493,-0.0327
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-06-01,52860.0,3.1696,5.5448,0.5626,0.472
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-07-01,54375.0,2.8661,6.1804,0.6725,0.5234
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-08-01,53814.0,-1.0317,7.2398,0.5712,0.6048
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-09-01,54366.0,1.0258,4.8221,0.5275,0.4107
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-10-01,53843.0,-0.962,2.3553,0.4786,0.2118
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-11-01,53565.0,-0.5163,4.4233,0.4273,0.3759
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1997-12-01,54746.0,2.2048,6.0702,0.52,0.5082
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-01-01,54241.0,-0.9224,2.2354,0.4808,0.1985
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-02-01,53549.0,-1.2758,0.4314,0.5164,0.0507
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-03-01,54881.0,2.4874,3.1811,0.5232,0.2783
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-04-01,56570.0,3.0776,8.1789,0.6202,0.6751
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-05-01,56468.0,-0.1803,10.2116,0.5241,0.8286
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-06-01,58386.0,3.3966,10.454,0.5255,0.8475
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-07-01,55288.0,-5.3061,1.6791,0.4565,0.1665
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-08-01,53392.0,-3.4293,-0.7842,0.272,-0.0333
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-09-01,55920.0,4.7348,2.8584,0.4694,0.2757
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-10-01,57773.0,3.3137,7.299,0.5272,0.6321
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-11-01,58329.0,0.9624,8.8939,0.5128,0.7553
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1998-12-01,59503.0,2.0127,8.6892,0.5966,0.7393
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-01-01,58721.0,-1.3142,8.2594,0.5014,0.7066
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-02-01,59961.0,2.1117,11.9741,0.4613,0.9889
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-03-01,60662.0,1.1691,10.5337,0.5359,0.8791
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-04-01,61182.0,0.8572,8.1527,0.5477,0.694
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-05-01,61851.0,1.0935,9.5328,0.532,0.8002
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-06-01,62453.0,0.9733,6.9657,0.6392,0.5982
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-07-01,63007.0,0.8871,13.9614,0.6014,1.1143
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-08-01,64529.0,2.4156,20.8589,0.7243,1.6014
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-09-01,63804.0,-1.1235,14.0987,0.5999,1.1132
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-10-01,62510.0,-2.0281,8.1993,0.504,0.6681
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-11-01,64791.0,3.649,11.0785,0.6744,0.8919
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,1999-12-01,64711.0,-0.1235,8.7525,0.6538,0.7139
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-01-01,65942.0,1.9023,12.2971,0.629,0.982
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-02-01,67906.0,2.9784,13.2503,0.6979,1.0542
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-03-01,67329.0,-0.8497,10.9904,0.6811,0.886
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-04-01,63981.0,-4.9726,4.5749,0.5898,0.4001
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-05-01,65410.0,2.2335,5.7542,0.708,0.4951
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-06-01,65742.0,0.5076,5.2664,0.634,0.4563
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-07-01,63451.0,-3.4848,0.7047,0.4576,0.092
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-08-01,64451.0,1.576,-0.1209,0.53,0.022
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-09-01,64735.0,0.4406,1.4592,0.5138,0.1524
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-10-01,65020.0,0.4403,4.0154,0.5527,0.3581
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-11-01,62945.0,-3.1913,-2.8492,0.4784,-0.2119
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2000-12-01,61456.0,-2.3656,-5.0301,0.3515,-0.3988
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-01-01,65034.0,5.8221,-1.377,0.5388,-0.0721
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-02-01,65022.0,-0.0185,-4.247,0.5737,-0.3219
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-03-01,64187.0,-1.2842,-4.6666,0.469,-0.3581
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-04-01,65645.0,2.2715,2.6008,0.4466,0.2456
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-05-01,66514.0,1.3238,1.6878,0.4884,0.1698
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-06-01,65467.0,-1.5741,-0.4183,0.3503,-0.0037
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-07-01,64850.0,-0.9425,2.2049,0.4715,0.2082
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-08-01,65340.0,0.7556,1.3793,0.5878,0.1398
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-09-01,61603.0,-5.7193,-4.8382,0.2974,-0.3735
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-10-01,79627.0,29.2583,22.4654,1.018,2.028
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-11-01,70538.0,-11.4145,12.0629,0.6742,1.3427
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2001-12-01,66255.0,-6.0719,7.8088,0.4497,1.0339
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-01-01,66543.0,0.4347,2.3203,0.4983,0.5849
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-02-01,66936.0,0.5906,2.9436,0.456,0.6357
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-03-01,65157.0,-2.6578,1.5112,0.3497,0.5212
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-04-01,66609.0,2.2285,1.4685,0.3878,0.5176
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-05-01,64254.0,-3.5356,-3.3978,0.2592,0.1127
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-06-01,65997.0,2.7127,0.8096,0.3075,0.4699
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-07-01,69154.0,4.7836,6.6369,0.4158,0.9471
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-08-01,70550.0,2.0187,7.9737,0.4047,1.0523
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-09-01,66115.0,-6.2863,7.3243,0.2613,1.0051
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-10-01,66437.0,0.487,-16.5647,0.3312,-1.3925
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-11-01,65339.0,-1.6527,-7.3705,0.1839,-0.579
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2002-12-01,68362.0,4.6266,3.1801,0.3159,0.3125
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-01-01,68304.0,-0.0848,2.6464,0.2607,0.2692
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-02-01,65267.0,-4.4463,-2.4934,0.0544,-0.1505
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-03-01,66319.0,1.6118,1.7834,0.1228,0.2053
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-04-01,68420.0,3.168,2.7189,0.3489,0.2836
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-05-01,68182.0,-0.3479,6.1132,0.2772,0.5492
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-06-01,69935.0,2.5711,5.9669,0.3345,0.5374
RSMVPD,Advance Retail Sales: Motor Vehicle and Parts Dealers,2003-07-01,70221.0,0.409,1.5429,0.4427,0.1729
