series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
RSXFS,Advance Retail Sales: Retail Trade,1992-01-01,142419.0,,,,,
RSXFS,Advance Retail Sales: Retail Trade,1992-02-01,142584.0,0.1159,,,0.1159,0.1159
RSXFS,Advance Retail Sales: Retail Trade,1992-03-01,142120.0,-0.3254,,,-0.1048,-0.1048
RSXFS,Advance Retail Sales: Retail Trade,1992-04-01,143659.0,1.0829,,,0.2911,0.2911
RSXFS,Advance Retail Sales: Retail Trade,1992-05-01,144239.0,0.4037,,,0.3193,0.3193
RSXFS,Advance Retail Sales: Retail Trade,1992-06-01,145273.0,0.7169,,,0.3988,0.3988
RSXFS,Advance Retail Sales: Retail Trade,1992-07-01,146743.0,1.0119,,,0.501,0.501
RSXFS,Advance Retail Sales: Retail Trade,1992-08-01,146070.0,-0.4586,,,0.3639,0.3639
RSXFS,Advance Retail Sales: Retail Trade,1992-09-01,147932.0,1.2747,,,0.4777,0.4777
RSXFS,Advance Retail Sales: Retail Trade,1992-10-01,149346.0,0.9558,,,0.5309,0.5309
RSXFS,Advance Retail Sales: Retail Trade,1992-11-01,149131.0,-0.144,,,0.4634,0.4634
RSXFS,Advance Retail Sales: Retail Trade,1992-12-01,150578.0,0.9703,,,0.5095,0.5095
RSXFS,Advance Retail Sales: Retail Trade,1993-01-01,152329.0,1.1629,6.9583,6.9583,0.5639,0.5639
RSXFS,Advance Retail Sales: Retail Trade,1993-02-01,151742.0,-0.3854,6.4229,6.4229,0.4909,0.5221
RSXFS,Advance Retail Sales: Retail Trade,1993-03-01,150525.0,-0.802,5.914,5.914,0.3985,0.4824
RSXFS,Advance Retail Sales: Retail Trade,1993-04-01,154720.0,2.7869,7.6995,7.6995,0.5578,0.6244
RSXFS,Advance Retail Sales: Retail Trade,1993-05-01,155537.0,0.5281,7.8328,7.8328,0.5559,0.6348
RSXFS,Advance Retail Sales: Retail Trade,1993-06-01,155353.0,-0.1183,6.9387,6.9387,0.5162,0.5652
RSXFS,Advance Retail Sales: Retail Trade,1993-07-01,158267.0,1.8757,7.8532,7.8532,0.5918,0.6372
RSXFS,Advance Retail Sales: Retail Trade,1993-08-01,157425.0,-0.532,7.7737,7.7737,0.5326,0.6311
RSXFS,Advance Retail Sales: Retail Trade,1993-09-01,158535.0,0.7051,7.1675,7.1675,0.5413,0.5836
RSXFS,Advance Retail Sales: Retail Trade,1993-10-01,159773.0,0.7809,6.9818,6.9818,0.5527,0.569
RSXFS,Advance Retail Sales: Retail Trade,1993-11-01,162004.0,1.3964,8.632,8.632,0.591,0.6974
RSXFS,Advance Retail Sales: Retail Trade,1993-12-01,163258.0,0.7741,8.4209,8.4209,0.599,0.681
RSXFS,Advance Retail Sales: Retail Trade,1994-01-01,162369.0,-0.5445,6.591,6.591,0.5513,0.5387
