series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
TOTALSA,Total Vehicle Sales (SAAR),1980-01-01,14.439,,,,,
TOTALSA,Total Vehicle Sales (SAAR),1980-02-01,13.276,-8.0546,,,-8.0546,-8.0546
TOTALSA,Total Vehicle Sales (SAAR),1980-03-01,12.077,-9.0313,,,-8.543,-8.543
TOTALSA,Total Vehicle Sales (SAAR),1980-04-01,10.444,-13.5216,,,-10.2025,-10.2025
TOTALSA,Total Vehicle Sales (SAAR),1980-05-01,9.54,-8.6557,,,-9.8158,-9.8158
TOTALSA,Total Vehicle Sales (SAAR),1980-06-01,10.449,9.5283,,,-5.947,-5.947
TOTALSA,Total Vehicle Sales (SAAR),1980-07-01,11.664,11.6279,,,-3.0178,-3.0178
TOTALSA,Total Vehicle Sales (SAAR),1980-08-01,11.154,-4.3724,,,-3.2113,-3.2113
TOTALSA,Total Vehicle Sales (SAAR),1980-09-01,10.912,-2.1696,,,-3.0811,-3.0811
TOTALSA,Total Vehicle Sales (SAAR),1980-10-01,11.412,4.5821,,,-2.2297,-2.2297
TOTALSA,Total Vehicle Sales (SAAR),1980-11-01,11.257,-1.3582,,,-2.1425,-2.1425
TOTALSA,Total Vehicle Sales (SAAR),1980-12-01,10.939,-2.8249,,,-2.2045,-2.2045
TOTALSA,Total Vehicle Sales (SAAR),1981-01-01,11.282,3.1356,-21.8644,-21.8644,-1.7595,-1.7595
TOTALSA,Total Vehicle Sales (SAAR),1981-02-01,12.351,9.4753,-6.9675,-6.9675,-0.8953,-0.2987
TOTALSA,Total Vehicle Sales (SAAR),1981-03-01,12.427,0.6153,2.8981,2.8981,-0.7874,0.5052
TOTALSA,Total Vehicle Sales (SAAR),1981-04-01,10.49,-15.587,0.4404,0.4404,-1.7741,0.333
TOTALSA,Total Vehicle Sales (SAAR),1981-05-01,10.354,-1.2965,8.5325,8.5325,-1.7442,0.9463
TOTALSA,Total Vehicle Sales (SAAR),1981-06-01,10.415,0.5891,-0.3254,-0.3254,-1.607,0.2014
TOTALSA,Total Vehicle Sales (SAAR),1981-07-01,10.428,0.1248,-10.5967,-10.5967,-1.5107,-0.7572
TOTALSA,Total Vehicle Sales (SAAR),1981-08-01,12.681,21.6053,13.6902,13.6902,-0.2941,1.4076
TOTALSA,Total Vehicle Sales (SAAR),1981-09-01,11.08,-12.6252,1.5396,1.5396,-0.9107,0.5363
TOTALSA,Total Vehicle Sales (SAAR),1981-10-01,9.418,-15.0,-17.4728,-17.4728,-1.5816,-1.0955
TOTALSA,Total Vehicle Sales (SAAR),1981-11-01,9.494,0.807,-15.6614,-15.6614,-1.473,-0.9151
TOTALSA,Total Vehicle Sales (SAAR),1981-12-01,9.055,-4.624,-17.2228,-17.2228,-1.61,-1.065
TOTALSA,Total Vehicle Sales (SAAR),1982-01-01,10.285,13.5837,-8.8371,-8.8371,-0.9769,-0.1943
TOTALSA,Total Vehicle Sales (SAAR),1982-02-01,10.924,6.2129,-11.5537,-11.5537,-0.6893,-0.4662
TOTALSA,Total Vehicle Sales (SAAR),1982-03-01,10.651,-2.4991,-14.2915,-14.2915,-0.759,-0.7257
TOTALSA,Total Vehicle Sales (SAAR),1982-04-01,9.747,-8.4875,-7.0829,-7.0829,-1.0452,-0.1341
TOTALSA,Total Vehicle Sales (SAAR),1982-05-01,11.103,13.912,7.2339,7.2339,-0.511,1.1333
TOTALSA,Total Vehicle Sales (SAAR),1982-06-01,9.613,-13.4198,-7.7004,-7.7004,-0.9561,-0.0342
TOTALSA,Total Vehicle Sales (SAAR),1982-07-01,9.759,1.5188,-6.4154,-6.4154,-0.8736,0.082
TOTALSA,Total Vehicle Sales (SAAR),1982-08-01,9.947,1.9264,-21.5598,-21.5598,-0.7833,-1.5579
TOTALSA,Total Vehicle Sales (SAAR),1982-09-01,11.129,11.883,0.4422,0.4422,-0.3875,0.4844
TOTALSA,Total Vehicle Sales (SAAR),1982-10-01,10.14,-8.8867,7.6662,7.6662,-0.645,0.9939
