series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-01-01,458080.0,,,,
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-02-01,462967.0,1.0668,,1.0668,1.0668
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-03-01,458399.0,-0.9867,,0.0401,0.0401
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-04-01,469425.0,2.4053,,0.8285,0.8285
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-05-01,468998.0,-0.091,,0.5986,0.5986
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-06-01,480247.0,2.3985,,0.9586,0.9586
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-07-01,483571.0,0.6921,,0.9142,0.9142
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-08-01,491494.0,1.6384,,1.0177,1.0177
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-09-01,497297.0,1.1807,,1.038,1.038
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-10-01,492823.0,-0.8997,,0.8227,0.8227
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-11-01,515934.0,4.6895,,1.2094,1.2094
TTLCONS,Total Construction Spending: Total Construction in the United States,1993-12-01,533150.0,3.3369,,1.4028,1.4028
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-01-01,513314.0,-3.7205,12.0577,0.9759,0.9759
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-02-01,513196.0,-0.023,10.8494,0.899,0.8851
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-03-01,521040.0,1.5285,13.6652,0.944,1.0947
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-04-01,528063.0,1.3479,12.4915,0.9709,1.0065
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-05-01,532328.0,0.8077,13.5033,0.9607,1.0814
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-06-01,536198.0,0.727,11.6505,0.947,0.9421
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-07-01,537232.0,0.1928,11.0968,0.9051,0.9005
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-08-01,537960.0,0.1355,9.454,0.8646,0.7753
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-09-01,538215.0,0.0474,8.2281,0.8237,0.6808
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-10-01,533273.0,-0.9182,8.2078,0.7408,0.6793
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-11-01,539150.0,1.1021,4.4998,0.7572,0.3803
TTLCONS,Total Construction Spending: Total Construction in the United States,1994-12-01,541794.0,0.4904,1.6213,0.7456,0.1431
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-01-01,543930.0,0.3942,5.9644,0.7309,0.486
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-02-01,537826.0,-1.1222,4.7993,0.6568,0.3944
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-03-01,542715.0,0.909,4.1599,0.6665,0.3428
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-04-01,543096.0,0.0702,2.8468,0.6444,0.2363
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-05-01,542566.0,-0.0976,1.9233,0.6179,0.1609
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-06-01,546131.0,0.6571,1.8525,0.6193,0.1551
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-07-01,547342.0,0.2217,1.8819,0.606,0.1575
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-08-01,550996.0,0.6676,2.4232,0.608,0.2018
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-09-01,554011.0,0.5472,2.9349,0.6061,0.2435
TTLCONS,Total Construction Spending: Total Construction in the United States,1995-10-01,555132.0,0.2023,4.099,0.5939,0.3368
