series_id,series_name,date,value,mom_change,yoy_change,mom_36mo_avg,mom_12mo_avg
UMCSENT,University of Michigan: Consumer Sentiment,1980-01-01,67.0,,,,
UMCSENT,University of Michigan: Consumer Sentiment,1980-02-01,66.9,-0.1493,,-0.1493,-0.1493
UMCSENT,University of Michigan: Consumer Sentiment,1980-03-01,56.5,-15.5456,,-7.8474,-7.8474
UMCSENT,University of Michigan: Consumer Sentiment,1980-04-01,52.7,-6.7257,,-7.4735,-7.4735
UMCSENT,University of Michigan: Consumer Sentiment,1980-05-01,51.7,-1.8975,,-6.0795,-6.0795
UMCSENT,University of Michigan: Consumer Sentiment,1980-06-01,58.7,13.5397,,-2.1557,-2.1557
UMCSENT,University of Michigan: Consumer Sentiment,1980-07-01,62.3,6.1329,,-0.7743,-0.7743
UMCSENT,University of Michigan: Consumer Sentiment,1980-08-01,67.3,8.0257,,0.4829,0.4829
UMCSENT,University of Michigan: Consumer Sentiment,1980-09-01,73.7,9.5097,,1.6112,1.6112
UMCSENT,University of Michigan: Consumer Sentiment,1980-10-01,75.0,1.7639,,1.6282,1.6282
UMCSENT,University of Michigan: Consumer Sentiment,1980-11-01,76.7,2.2667,,1.692,1.692
UMCSENT,University of Michigan: Consumer Sentiment,1980-12-01,64.5,-15.9061,,0.0922,0.0922
UMCSENT,University of Michigan: Consumer Sentiment,1981-01-01,71.4,10.6977,6.5672,0.976,0.976
UMCSENT,University of Michigan: Consumer Sentiment,1981-02-01,66.9,-6.3025,0.0,0.4161,0.4632
UMCSENT,University of Michigan: Consumer Sentiment,1981-03-01,66.5,-0.5979,17.6991,0.3437,1.7089
UMCSENT,University of Michigan: Consumer Sentiment,1981-04-01,72.4,8.8722,37.3814,0.9122,3.0087
UMCSENT,University of Michigan: Consumer Sentiment,1981-05-01,76.3,5.3867,47.5822,1.1919,3.6157
UMCSENT,University of Michigan: Consumer Sentiment,1981-06-01,73.1,-4.194,24.5315,0.8751,2.1379
UMCSENT,University of Michigan: Consumer Sentiment,1981-07-01,74.1,1.368,18.9406,0.9025,1.7408
UMCSENT,University of Michigan: Consumer Sentiment,1981-08-01,77.2,4.1835,14.7103,1.0752,1.4207
UMCSENT,University of Michigan: Consumer Sentiment,1981-09-01,73.1,-5.3109,-0.8141,0.7559,0.1856
UMCSENT,University of Michigan: Consumer Sentiment,1981-10-01,70.3,-3.8304,-6.2667,0.5375,-0.2806
UMCSENT,University of Michigan: Consumer Sentiment,1981-11-01,62.5,-11.0953,-18.5137,0.0087,-1.3941
UMCSENT,University of Michigan: Consumer Sentiment,1981-12-01,64.3,2.88,-0.3101,0.1335,0.1714
UMCSENT,University of Michigan: Consumer Sentiment,1982-01-01,71.0,10.4199,-0.5602,0.5621,0.1483
UMCSENT,University of Michigan: Consumer Sentiment,1982-02-01,66.5,-6.338,-0.5979,0.2861,0.1453
UMCSENT,University of Michigan: Consumer Sentiment,1982-03-01,62.0,-6.7669,-6.7669,0.0149,-0.3688
UMCSENT,University of Michigan: Consumer Sentiment,1982-04-01,65.5,5.6452,-9.5304,0.2234,-0.6377
UMCSENT,University of Michigan: Consumer Sentiment,1982-05-01,67.5,3.0534,-11.5334,0.3245,-0.8321
UMCSENT,University of Michigan: Consumer Sentiment,1982-06-01,65.7,-2.6667,-10.1231,0.2213,-0.7048
UMCSENT,University of Michigan: Consumer Sentiment,1982-07-01,65.4,-0.4566,-11.7409,0.1987,-0.8569
UMCSENT,University of Michigan: Consumer Sentiment,1982-08-01,65.4,0.0,-15.285,0.1923,-1.2055
UMCSENT,University of Michigan: Consumer Sentiment,1982-09-01,69.3,5.9633,-5.1984,0.3727,-0.266
UMCSENT,University of Michigan: Consumer Sentiment,1982-10-01,73.4,5.9163,4.4097,0.5406,0.5462
UMCSENT,University of Michigan: Consumer Sentiment,1982-11-01,72.1,-1.7711,15.36,0.4727,1.3232
UMCSENT,University of Michigan: Consumer Sentiment,1982-12-01,71.9,-0.2774,11.8196,0.4512,1.0601
UMCSENT,University of Michigan: Consumer Sentiment,1983-01-01,70.4,-2.0862,-0.8451,0.3807,0.0179
UMCSENT,University of Michigan: Consumer Sentiment,1983-02-01,74.6,5.9659,12.1805,0.5506,1.0433
UMCSENT,University of Michigan: Consumer Sentiment,1983-03-01,80.8,8.311,30.3226,1.2133,2.2998
UMCSENT,University of Michigan: Consumer Sentiment,1983-04-01,89.1,10.2723,36.0305,1.6855,2.6853
UMCSENT,University of Michigan: Consumer Sentiment,1983-05-01,93.3,4.7138,38.2222,1.8691,2.8237
UMCSENT,University of Michigan: Consumer Sentiment,1983-06-01,92.2,-1.179,40.3349,1.4602,2.9477
UMCSENT,University of Michigan: Consumer Sentiment,1983-07-01,92.8,0.6508,41.896,1.308,3.04
UMCSENT,University of Michigan: Consumer Sentiment,1983-08-01,90.9,-2.0474,38.9908,1.0282,2.8694
UMCSENT,University of Michigan: Consumer Sentiment,1983-09-01,89.9,-1.1001,29.7258,0.7334,2.2807
UMCSENT,University of Michigan: Consumer Sentiment,1983-10-01,89.3,-0.6674,21.6621,0.6659,1.7321
UMCSENT,University of Michigan: Consumer Sentiment,1983-11-01,91.1,2.0157,26.3523,0.6589,2.0477
UMCSENT,University of Michigan: Consumer Sentiment,1983-12-01,94.2,3.4029,31.0153,1.1953,2.3543
UMCSENT,University of Michigan: Consumer Sentiment,1984-01-01,100.1,6.2633,42.1875,1.0721,3.0501
UMCSENT,University of Michigan: Consumer Sentiment,1984-02-01,97.4,-2.6973,30.563,1.1723,2.3282
UMCSENT,University of Michigan: Consumer Sentiment,1984-03-01,101.0,3.6961,25.0,1.2915,1.9436
UMCSENT,University of Michigan: Consumer Sentiment,1984-04-01,96.1,-4.8515,7.8563,0.9103,0.6833
UMCSENT,University of Michigan: Consumer Sentiment,1984-05-01,98.1,2.0812,5.1447,0.8185,0.4639
UMCSENT,University of Michigan: Consumer Sentiment,1984-06-01,95.5,-2.6504,3.5792,0.8614,0.3413
UMCSENT,University of Michigan: Consumer Sentiment,1984-07-01,96.6,1.1518,4.0948,0.8554,0.3831
UMCSENT,University of Michigan: Consumer Sentiment,1984-08-01,99.1,2.588,9.0209,0.8111,0.7694
UMCSENT,University of Michigan: Consumer Sentiment,1984-09-01,100.9,1.8163,12.2358,1.009,1.0124
UMCSENT,University of Michigan: Consumer Sentiment,1984-10-01,96.3,-4.559,7.8387,0.9888,0.6881
UMCSENT,University of Michigan: Consumer Sentiment,1984-11-01,95.7,-0.6231,5.0494,1.2797,0.4682
UMCSENT,University of Michigan: Consumer Sentiment,1984-12-01,92.9,-2.9258,-1.38,1.1184,-0.0592
UMCSENT,University of Michigan: Consumer Sentiment,1985-01-01,96.0,3.3369,-4.0959,0.9217,-0.3031
UMCSENT,University of Michigan: Consumer Sentiment,1985-02-01,93.7,-2.3958,-3.7988,1.0312,-0.2779
UMCSENT,University of Michigan: Consumer Sentiment,1985-03-01,93.7,0.0,-7.2277,1.2191,-0.5859
UMCSENT,University of Michigan: Consumer Sentiment,1985-04-01,94.6,0.9605,-1.5609,1.089,-0.1016
UMCSENT,University of Michigan: Consumer Sentiment,1985-05-01,91.8,-2.9598,-6.422,0.922,-0.5217
UMCSENT,University of Michigan: Consumer Sentiment,1985-06-01,96.5,5.1198,1.0471,1.1383,0.1258
UMCSENT,University of Michigan: Consumer Sentiment,1985-07-01,94.0,-2.5907,-2.6915,1.079,-0.186
UMCSENT,University of Michigan: Consumer Sentiment,1985-08-01,92.4,-1.7021,-6.7608,1.0317,-0.5436
UMCSENT,University of Michigan: Consumer Sentiment,1985-09-01,92.1,-0.3247,-8.7215,0.857,-0.722
UMCSENT,University of Michigan: Consumer Sentiment,1985-10-01,88.4,-4.0174,-8.2035,0.5811,-0.6768
UMCSENT,University of Michigan: Consumer Sentiment,1985-11-01,90.9,2.8281,-5.0157,0.7089,-0.3893
UMCSENT,University of Michigan: Consumer Sentiment,1985-12-01,93.9,3.3003,1.0764,0.8082,0.1296
UMCSENT,University of Michigan: Consumer Sentiment,1986-01-01,95.6,1.8104,-0.4167,0.9165,0.0024
UMCSENT,University of Michigan: Consumer Sentiment,1986-02-01,95.9,0.3138,2.3479,0.7595,0.2282
UMCSENT,University of Michigan: Consumer Sentiment,1986-03-01,95.1,-0.8342,1.4941,0.5055,0.1587
UMCSENT,University of Michigan: Consumer Sentiment,1986-04-01,96.2,1.1567,1.6913,0.2522,0.175
UMCSENT,University of Michigan: Consumer Sentiment,1986-05-01,94.8,-1.4553,3.268,0.0809,0.3004
UMCSENT,University of Michigan: Consumer Sentiment,1986-06-01,99.3,4.7468,2.9016,0.2455,0.2693
UMCSENT,University of Michigan: Consumer Sentiment,1986-07-01,97.7,-1.6113,3.9362,0.1827,0.3509
UMCSENT,University of Michigan: Consumer Sentiment,1986-08-01,94.9,-2.8659,2.7056,0.1599,0.2539
UMCSENT,University of Michigan: Consumer Sentiment,1986-09-01,91.9,-3.1612,-0.2172,0.1027,0.0176
UMCSENT,University of Michigan: Consumer Sentiment,1986-10-01,95.6,4.0261,8.1448,0.233,0.6879
UMCSENT,University of Michigan: Consumer Sentiment,1986-11-01,91.4,-4.3933,0.5501,0.055,0.0861
UMCSENT,University of Michigan: Consumer Sentiment,1986-12-01,89.1,-2.5164,-5.1118,-0.1094,-0.3986
UMCSENT,University of Michigan: Consumer Sentiment,1987-01-01,90.4,1.459,-5.4393,-0.2429,-0.4279
UMCSENT,University of Michigan: Consumer Sentiment,1987-02-01,90.2,-0.2212,-5.9437,-0.1741,-0.4725
UMCSENT,University of Michigan: Consumer Sentiment,1987-03-01,90.8,0.6652,-4.5216,-0.2583,-0.3476
UMCSENT,University of Michigan: Consumer Sentiment,1987-04-01,92.8,2.2026,-3.5343,-0.0623,-0.2604
UMCSENT,University of Michigan: Consumer Sentiment,1987-05-01,91.1,-1.8319,-3.903,-0.171,-0.2918
UMCSENT,University of Michigan: Consumer Sentiment,1987-06-01,91.5,0.4391,-7.855,-0.0852,-0.6508
UMCSENT,University of Michigan: Consumer Sentiment,1987-07-01,93.7,2.4044,-4.0942,-0.0504,-0.3161
UMCSENT,University of Michigan: Consumer Sentiment,1987-08-01,94.4,0.7471,-0.5269,-0.1016,-0.015
UMCSENT,University of Michigan: Consumer Sentiment,1987-09-01,93.6,-0.8475,1.8498,-0.1755,0.1778
UMCSENT,University of Michigan: Consumer Sentiment,1987-10-01,89.3,-4.594,-6.59,-0.1765,-0.5406
UMCSENT,University of Michigan: Consumer Sentiment,1987-11-01,83.1,-6.9429,-9.081,-0.3521,-0.753
UMCSENT,University of Michigan: Consumer Sentiment,1987-12-01,86.8,4.4525,-2.5814,-0.1471,-0.1723
UMCSENT,University of Michigan: Consumer Sentiment,1988-01-01,90.8,4.6083,0.4425,-0.1118,0.0901
UMCSENT,University of Michigan: Consumer Sentiment,1988-02-01,91.6,0.8811,1.5521,-0.0208,0.182
UMCSENT,University of Michigan: Consumer Sentiment,1988-03-01,94.6,3.2751,4.185,0.0702,0.3995
UMCSENT,University of Michigan: Consumer Sentiment,1988-04-01,91.2,-3.5941,-1.7241,-0.0563,-0.0836
UMCSENT,University of Michigan: Consumer Sentiment,1988-05-01,94.8,3.9474,4.0615,0.1355,0.398
UMCSENT,University of Michigan: Consumer Sentiment,1988-06-01,94.7,-0.1055,3.4973,-0.0096,0.3527
UMCSENT,University of Michigan: Consumer Sentiment,1988-07-01,93.4,-1.3728,-0.3202,0.0242,0.0379
UMCSENT,University of Michigan: Consumer Sentiment,1988-08-01,97.4,4.2827,3.178,0.1905,0.3325
UMCSENT,University of Michigan: Consumer Sentiment,1988-09-01,97.3,-0.1027,3.953,0.1966,0.3946
UMCSENT,University of Michigan: Consumer Sentiment,1988-10-01,94.1,-3.2888,5.3751,0.2169,0.5034
UMCSENT,University of Michigan: Consumer Sentiment,1988-11-01,93.0,-1.169,11.9134,0.1059,0.9845
UMCSENT,University of Michigan: Consumer Sentiment,1988-12-01,91.9,-1.1828,5.8756,-0.0187,0.5149
UMCSENT,University of Michigan: Consumer Sentiment,1989-01-01,97.9,6.5288,7.8194,0.1124,0.675
UMCSENT,University of Michigan: Consumer Sentiment,1989-02-01,95.4,-2.5536,4.1485,0.0327,0.3887
UMCSENT,University of Michigan: Consumer Sentiment,1989-03-01,94.3,-1.153,-0.3171,0.0239,0.0197
UMCSENT,University of Michigan: Consumer Sentiment,1989-04-01,91.5,-2.9692,0.3289,-0.0907,0.0718
UMCSENT,University of Michigan: Consumer Sentiment,1989-05-01,90.7,-0.8743,-4.3249,-0.0746,-0.33
UMCSENT,University of Michigan: Consumer Sentiment,1989-06-01,90.6,-0.1103,-4.3295,-0.2095,-0.3304
UMCSENT,University of Michigan: Consumer Sentiment,1989-07-01,92.0,1.5453,-1.4989,-0.1218,-0.0872
UMCSENT,University of Michigan: Consumer Sentiment,1989-08-01,89.6,-2.6087,-8.0082,-0.1147,-0.6615
UMCSENT,University of Michigan: Consumer Sentiment,1989-09-01,95.8,6.9196,-1.5416,0.1653,-0.0763
UMCSENT,University of Michigan: Consumer Sentiment,1989-10-01,93.9,-1.9833,-0.2125,-0.0016,0.0325
