series_id,series_name,date,value,mom_change,yoy_change,rolling_12mo_change,mom_36mo_avg,mom_12mo_avg
UNRATE,Unemployment Rate,1980-01-01,6.3,,,,,
UNRATE,Unemployment Rate,1980-02-01,6.3,0.0,,,0.0,0.0
UNRATE,Unemployment Rate,1980-03-01,6.3,0.0,,,0.0,0.0
UNRATE,Unemployment Rate,1980-04-01,6.9,0.6,,,0.2,0.2
UNRATE,Unemployment Rate,1980-05-01,7.5,0.6,,,0.3,0.3
UNRATE,Unemployment Rate,1980-06-01,7.6,0.1,,,0.26,0.26
UNRATE,Unemployment Rate,1980-07-01,7.8,0.2,,,0.25,0.25
UNRATE,Unemployment Rate,1980-08-01,7.7,-0.1,,,0.2,0.2
UNRATE,Unemployment Rate,1980-09-01,7.5,-0.2,,,0.15,0.15
UNRATE,Unemployment Rate,1980-10-01,7.5,0.0,,,0.1333,0.1333
UNRATE,Unemployment Rate,1980-11-01,7.5,0.0,,,0.12,0.12
UNRATE,Unemployment Rate,1980-12-01,7.2,-0.3,,,0.0818,0.0818
UNRATE,Unemployment Rate,1981-01-01,7.5,0.3,1.2,1.2,0.1,0.1
UNRATE,Unemployment Rate,1981-02-01,7.4,-0.1,1.1,1.1,0.0846,0.0917
UNRATE,Unemployment Rate,1981-03-01,7.4,0.0,1.1,1.1,0.0786,0.0917
UNRATE,Unemployment Rate,1981-04-01,7.2,-0.2,0.3,0.3,0.06,0.025
UNRATE,Unemployment Rate,1981-05-01,7.5,0.3,0.0,0.0,0.075,0.0
UNRATE,Unemployment Rate,1981-06-01,7.5,0.0,-0.1,-0.1,0.0706,-0.0083
UNRATE,Unemployment Rate,1981-07-01,7.2,-0.3,-0.6,-0.6,0.05,-0.05
UNRATE,Unemployment Rate,1981-08-01,7.4,0.2,-0.3,-0.3,0.0579,-0.025
UNRATE,Unemployment Rate,1981-09-01,7.6,0.2,0.1,0.1,0.065,0.0083
UNRATE,Unemployment Rate,1981-10-01,7.9,0.3,0.4,0.4,0.0762,0.0333
UNRATE,Unemployment Rate,1981-11-01,8.3,0.4,0.8,0.8,0.0909,0.0667
UNRATE,Unemployment Rate,1981-12-01,8.5,0.2,1.3,1.3,0.0957,0.1083
UNRATE,Unemployment Rate,1982-01-01,8.6,0.1,1.1,1.1,0.0958,0.0917
