Material,Series ID,Year,Month,Value
#2 Diesel Fuel,WPU057303,2020,1,214.5
#2 Diesel Fuel,WPU057303,2020,2,193.3
#2 Diesel Fuel,WPU057303,2020,3,169.7
#2 Diesel Fuel,WPU057303,2020,4,123.6
#2 Diesel Fuel,WPU057303,2020,5,108.3
#2 Diesel Fuel,WPU057303,2020,6,137.8
#2 Diesel Fuel,WPU057303,2020,7,179.2
#2 Diesel Fuel,WPU057303,2020,8,191.0
#2 Diesel Fuel,WPU057303,2020,9,177.5
#2 Diesel Fuel,WPU057303,2020,10,187.3
#2 Diesel Fuel,WPU057303,2020,11,201.1
#2 Diesel Fuel,WPU057303,2020,12,224.6
#2 Diesel Fuel,WPU057303,2021,1,232.9
#2 Diesel Fuel,WPU057303,2021,2,264.4
#2 Diesel Fuel,WPU057303,2021,3,304.1
#2 Diesel Fuel,WPU057303,2021,4,282.0
#2 Diesel Fuel,WPU057303,2021,5,318.8
#2 Diesel Fuel,WPU057303,2021,6,317.8
#2 Diesel Fuel,WPU057303,2021,7,326.966
#2 Diesel Fuel,WPU057303,2021,8,322.279
#2 Diesel Fuel,WPU057303,2021,9,334.175
#2 Diesel Fuel,WPU057303,2021,10,374.107
#2 Diesel Fuel,WPU057303,2021,11,366.731
#2 Diesel Fuel,WPU057303,2021,12,346.234
#2 Diesel Fuel,WPU057303,2022,1,365.449
#2 Diesel Fuel,WPU057303,2022,2,415.354
#2 Diesel Fuel,WPU057303,2022,3,503.052
#2 Diesel Fuel,WPU057303,2022,4,528.256
#2 Diesel Fuel,WPU057303,2022,5,587.939
#2 Diesel Fuel,WPU057303,2022,6,665.72
#2 Diesel Fuel,WPU057303,2022,7,568.603
#2 Diesel Fuel,WPU057303,2022,8,497.425
#2 Diesel Fuel,WPU057303,2022,9,548.658
#2 Diesel Fuel,WPU057303,2022,10,605.641
#2 Diesel Fuel,WPU057303,2022,11,585.306
#2 Diesel Fuel,WPU057303,2022,12,419.191
#2 Diesel Fuel,WPU057303,2023,1,449.169
#2 Diesel Fuel,WPU057303,2023,2,435.578
#2 Diesel Fuel,WPU057303,2023,3,406.306
#2 Diesel Fuel,WPU057303,2023,4,387.167
#2 Diesel Fuel,WPU057303,2023,5,363.26
#2 Diesel Fuel,WPU057303,2023,6,342.988
#2 Diesel Fuel,WPU057303,2023,7,322.199
#2 Diesel Fuel,WPU057303,2023,8,428.045
#2 Diesel Fuel,WPU057303,2023,9,446.947
#2 Diesel Fuel,WPU057303,2023,10,407.772
#2 Diesel Fuel,WPU057303,2023,11,393.711
#2 Diesel Fuel,WPU057303,2023,12,342.052
#2 Diesel Fuel,WPU057303,2024,1,327.029
#2 Diesel Fuel,WPU057303,2024,2,383.57
#2 Diesel Fuel,WPU057303,2024,3,384.276
#2 Diesel Fuel,WPU057303,2024,4,395.872
#2 Diesel Fuel,WPU057303,2024,5,319.052
#2 Diesel Fuel,WPU057303,2024,6,306.904
#2 Diesel Fuel,WPU057303,2024,7,342.037
#2 Diesel Fuel,WPU057303,2024,8,334.785
#2 Diesel Fuel,WPU057303,2024,9,289.007
#2 Diesel Fuel,WPU057303,2024,10,318.34
#2 Diesel Fuel,WPU057303,2024,11,311.919
#2 Diesel Fuel,WPU057303,2024,12,294.577
#2 Diesel Fuel,WPU057303,2025,1,305.53
#2 Diesel Fuel,WPU057303,2025,2,312.948
#2 Diesel Fuel,WPU057303,2025,3,289.495
#2 Diesel Fuel,WPU057303,2025,4,285.711
#2 Diesel Fuel,WPU057303,2025,5,290.958
Aluminum Mill Shapes,WPU102501,2020,1,192.3
Aluminum Mill Shapes,WPU102501,2020,2,187.9
Aluminum Mill Shapes,WPU102501,2020,3,185.7
Aluminum Mill Shapes,WPU102501,2020,4,177.9
Aluminum Mill Shapes,WPU102501,2020,5,171.1
Aluminum Mill Shapes,WPU102501,2020,6,169.4
Aluminum Mill Shapes,WPU102501,2020,7,172.0
Aluminum Mill Shapes,WPU102501,2020,8,175.8
Aluminum Mill Shapes,WPU102501,2020,9,182.4
Aluminum Mill Shapes,WPU102501,2020,10,181.8
Aluminum Mill Shapes,WPU102501,2020,11,182.4
Aluminum Mill Shapes,WPU102501,2020,12,188.4
Aluminum Mill Shapes,WPU102501,2021,1,193.5
Aluminum Mill Shapes,WPU102501,2021,2,196.4
Aluminum Mill Shapes,WPU102501,2021,3,200.3
Aluminum Mill Shapes,WPU102501,2021,4,211.0
Aluminum Mill Shapes,WPU102501,2021,5,218.4
Aluminum Mill Shapes,WPU102501,2021,6,226.0
Aluminum Mill Shapes,WPU102501,2021,7,226.843
Aluminum Mill Shapes,WPU102501,2021,8,235.604
Aluminum Mill Shapes,WPU102501,2021,9,243.212
Aluminum Mill Shapes,WPU102501,2021,10,253.771
Aluminum Mill Shapes,WPU102501,2021,11,258.862
Aluminum Mill Shapes,WPU102501,2021,12,244.037
Aluminum Mill Shapes,WPU102501,2022,1,253.817
Aluminum Mill Shapes,WPU102501,2022,2,271.422
Aluminum Mill Shapes,WPU102501,2022,3,278.24
Aluminum Mill Shapes,WPU102501,2022,4,287.613
Aluminum Mill Shapes,WPU102501,2022,5,278.597
Aluminum Mill Shapes,WPU102501,2022,6,262.278
Aluminum Mill Shapes,WPU102501,2022,7,250.971
Aluminum Mill Shapes,WPU102501,2022,8,242.087
Aluminum Mill Shapes,WPU102501,2022,9,238.823
Aluminum Mill Shapes,WPU102501,2022,10,231.681
Aluminum Mill Shapes,WPU102501,2022,11,228.166
Aluminum Mill Shapes,WPU102501,2022,12,231.131
Aluminum Mill Shapes,WPU102501,2023,1,236.333
Aluminum Mill Shapes,WPU102501,2023,2,240.325
Aluminum Mill Shapes,WPU102501,2023,3,240.372
Aluminum Mill Shapes,WPU102501,2023,4,235.988
Aluminum Mill Shapes,WPU102501,2023,5,236.986
Aluminum Mill Shapes,WPU102501,2023,6,234.678
Aluminum Mill Shapes,WPU102501,2023,7,231.722
Aluminum Mill Shapes,WPU102501,2023,8,230.918
Aluminum Mill Shapes,WPU102501,2023,9,228.798
Aluminum Mill Shapes,WPU102501,2023,10,227.86
Aluminum Mill Shapes,WPU102501,2023,11,227.576
Aluminum Mill Shapes,WPU102501,2023,12,226.844
Aluminum Mill Shapes,WPU102501,2024,1,225.148
Aluminum Mill Shapes,WPU102501,2024,2,225.517
Aluminum Mill Shapes,WPU102501,2024,3,224.413
Aluminum Mill Shapes,WPU102501,2024,4,225.667
Aluminum Mill Shapes,WPU102501,2024,5,235.599
Aluminum Mill Shapes,WPU102501,2024,6,241.058
Aluminum Mill Shapes,WPU102501,2024,7,242.445
Aluminum Mill Shapes,WPU102501,2024,8,237.123
Aluminum Mill Shapes,WPU102501,2024,9,235.145
