series_id,year,month,value,mom_growth,yoy_growth,series_name
CES2000000001,1986,M01,4908.0,,,Construction Employment
CES2000000001,1986,M02,4904.0,-0.000815,,Construction Employment
CES2000000001,1986,M03,4914.0,0.002039,,Construction Employment
CES2000000001,1986,M04,4950.0,0.007326,,Construction Employment
CES2000000001,1986,M05,4924.0,-0.005253,,Construction Employment
CES2000000001,1986,M06,4917.0,-0.001422,,Construction Employment
CES2000000001,1986,M07,4930.0,0.002644,,Construction Employment
CES2000000001,1986,M08,4943.0,0.002637,,Construction Employment
CES2000000001,1986,M09,4939.0,-0.000809,,Construction Employment
CES2000000001,1986,M10,4954.0,0.003037,,Construction Employment
CES2000000001,1986,M11,4960.0,0.001211,,Construction Employment
CES2000000001,1986,M12,4993.0,0.006653,,Construction Employment
CES2000000001,1987,M01,5007.0,0.002804,0.020171,Construction Employment
CES2000000001,1987,M02,5038.0,0.006191,0.027325,Construction Employment
CES2000000001,1987,M03,5039.0,0.000198,0.025438,Construction Employment
CES2000000001,1987,M04,5053.0,0.002778,0.020808,Construction Employment
CES2000000001,1987,M05,5080.0,0.005343,0.031682,Construction Employment
CES2000000001,1987,M06,5086.0,0.001181,0.034371,Construction Employment
CES2000000001,1987,M07,5092.0,0.00118,0.03286,Construction Employment
CES2000000001,1987,M08,5102.0,0.001964,0.032167,Construction Employment
CES2000000001,1987,M09,5096.0,-0.001176,0.031788,Construction Employment
CES2000000001,1987,M10,5142.0,0.009027,0.037949,Construction Employment
CES2000000001,1987,M11,5152.0,0.001945,0.03871,Construction Employment
CES2000000001,1987,M12,5180.0,0.005435,0.037452,Construction Employment
CES2000000001,1988,M01,5094.0,-0.016602,0.017376,Construction Employment
CES2000000001,1988,M02,5162.0,0.013349,0.024613,Construction Employment
CES2000000001,1988,M03,5201.0,0.007555,0.032149,Construction Employment
CES2000000001,1988,M04,5227.0,0.004999,0.034435,Construction Employment
CES2000000001,1988,M05,5228.0,0.000191,0.029134,Construction Employment
CES2000000001,1988,M06,5261.0,0.006312,0.034408,Construction Employment
CES2000000001,1988,M07,5270.0,0.001711,0.034957,Construction Employment
CES2000000001,1988,M08,5268.0,-0.00038,0.032536,Construction Employment
CES2000000001,1988,M09,5270.0,0.00038,0.034144,Construction Employment
CES2000000001,1988,M10,5262.0,-0.001518,0.023337,Construction Employment
CES2000000001,1988,M11,5273.0,0.00209,0.023486,Construction Employment
CES2000000001,1988,M12,5277.0,0.000759,0.018726,Construction Employment
CES2000000001,1989,M01,5289.0,0.002274,0.03828,Construction Employment
CES2000000001,1989,M02,5278.0,-0.00208,0.022472,Construction Employment
CES2000000001,1989,M03,5260.0,-0.00341,0.011344,Construction Employment
CES2000000001,1989,M04,5295.0,0.006654,0.013009,Construction Employment
CES2000000001,1989,M05,5299.0,0.000755,0.013581,Construction Employment
CES2000000001,1989,M06,5298.0,-0.000189,0.007033,Construction Employment
CES2000000001,1989,M07,5317.0,0.003586,0.008918,Construction Employment
CES2000000001,1989,M08,5330.0,0.002445,0.011769,Construction Employment
CES2000000001,1989,M09,5323.0,-0.001313,0.010057,Construction Employment
CES2000000001,1989,M10,5347.0,0.004509,0.016154,Construction Employment
CES2000000001,1989,M11,5364.0,0.003179,0.017258,Construction Employment
CES2000000001,1989,M12,5309.0,-0.010254,0.006064,Construction Employment
CES2000000001,1990,M01,5422.0,0.021285,0.025147,Construction Employment
CES2000000001,1990,M02,5416.0,-0.001107,0.026146,Construction Employment
CES2000000001,1990,M03,5392.0,-0.004431,0.025095,Construction Employment
CES2000000001,1990,M04,5355.0,-0.006862,0.011331,Construction Employment
CES2000000001,1990,M05,5321.0,-0.006349,0.004152,Construction Employment
CES2000000001,1990,M06,5303.0,-0.003383,0.000944,Construction Employment
CES2000000001,1990,M07,5274.0,-0.005469,-0.008087,Construction Employment
CES2000000001,1990,M08,5234.0,-0.007584,-0.018011,Construction Employment
CES2000000001,1990,M09,5197.0,-0.007069,-0.023671,Construction Employment
CES2000000001,1990,M10,5134.0,-0.012122,-0.039835,Construction Employment
CES2000000001,1990,M11,5095.0,-0.007596,-0.050149,Construction Employment
CES2000000001,1990,M12,5047.0,-0.009421,-0.04935,Construction Employment
CES2000000001,1991,M01,4972.0,-0.01486,-0.082995,Construction Employment
CES2000000001,1991,M02,4929.0,-0.008648,-0.089919,Construction Employment
CES2000000001,1991,M03,4881.0,-0.009738,-0.09477,Construction Employment
CES2000000001,1991,M04,4842.0,-0.00799,-0.095798,Construction Employment
CES2000000001,1991,M05,4800.0,-0.008674,-0.097914,Construction Employment
CES2000000001,1991,M06,4782.0,-0.00375,-0.098246,Construction Employment
CES2000000001,1991,M07,4752.0,-0.006274,-0.098976,Construction Employment
CES2000000001,1991,M08,4733.0,-0.003998,-0.09572,Construction Employment
CES2000000001,1991,M09,4728.0,-0.001056,-0.090244,Construction Employment
CES2000000001,1991,M10,4698.0,-0.006345,-0.084924,Construction Employment
CES2000000001,1991,M11,4640.0,-0.012346,-0.089303,Construction Employment
CES2000000001,1991,M12,4647.0,0.001509,-0.079255,Construction Employment
CES2000000001,1992,M01,4667.0,0.004304,-0.061344,Construction Employment
CES2000000001,1992,M02,4612.0,-0.011785,-0.064313,Construction Employment
CES2000000001,1992,M03,4621.0,0.001951,-0.053268,Construction Employment
CES2000000001,1992,M04,4603.0,-0.003895,-0.04936,Construction Employment
CES2000000001,1992,M05,4605.0,0.000434,-0.040625,Construction Employment
CES2000000001,1992,M06,4584.0,-0.00456,-0.041405,Construction Employment
CES2000000001,1992,M07,4570.0,-0.003054,-0.0383,Construction Employment
CES2000000001,1992,M08,4581.0,0.002407,-0.032115,Construction Employment
CES2000000001,1992,M09,4584.0,0.000655,-0.030457,Construction Employment
CES2000000001,1992,M10,4600.0,0.00349,-0.02086,Construction Employment
CES2000000001,1992,M11,4606.0,0.001304,-0.007328,Construction Employment
CES2000000001,1992,M12,4630.0,0.005211,-0.003658,Construction Employment
CES2000000001,1993,M01,4664.0,0.007343,-0.000643,Construction Employment
CES2000000001,1993,M02,4714.0,0.01072,0.022116,Construction Employment
CES2000000001,1993,M03,4676.0,-0.008061,0.011902,Construction Employment
CES2000000001,1993,M04,4690.0,0.002994,0.018901,Construction Employment
CES2000000001,1993,M05,4753.0,0.013433,0.032139,Construction Employment
CES2000000001,1993,M06,4760.0,0.001473,0.038394,Construction Employment
CES2000000001,1993,M07,4783.0,0.004832,0.046608,Construction Employment
CES2000000001,1993,M08,4806.0,0.004809,0.049116,Construction Employment
CES2000000001,1993,M09,4823.0,0.003537,0.052138,Construction Employment
CES2000000001,1993,M10,4868.0,0.00933,0.058261,Construction Employment
CES2000000001,1993,M11,4887.0,0.003903,0.061007,Construction Employment
CES2000000001,1993,M12,4925.0,0.007776,0.063715,Construction Employment
CES2000000001,1994,M01,4940.0,0.003046,0.059177,Construction Employment
CES2000000001,1994,M02,4923.0,-0.003441,0.044336,Construction Employment
CES2000000001,1994,M03,4990.0,0.01361,0.067151,Construction Employment
CES2000000001,1994,M04,5047.0,0.011423,0.076119,Construction Employment
CES2000000001,1994,M05,5084.0,0.007331,0.06964,Construction Employment
CES2000000001,1994,M06,5097.0,0.002557,0.070798,Construction Employment
CES2000000001,1994,M07,5125.0,0.005493,0.071503,Construction Employment
CES2000000001,1994,M08,5139.0,0.002732,0.069288,Construction Employment
CES2000000001,1994,M09,5175.0,0.007005,0.072984,Construction Employment
CES2000000001,1994,M10,5177.0,0.000386,0.063476,Construction Employment
CES2000000001,1994,M11,5210.0,0.006374,0.066094,Construction Employment
CES2000000001,1994,M12,5226.0,0.003071,0.061117,Construction Employment
CES2000000001,1995,M01,5234.0,0.001531,0.059514,Construction Employment
CES2000000001,1995,M02,5192.0,-0.008024,0.054641,Construction Employment
CES2000000001,1995,M03,5242.0,0.00963,0.050501,Construction Employment
CES2000000001,1995,M04,5252.0,0.001908,0.040618,Construction Employment
CES2000000001,1995,M05,5220.0,-0.006093,0.026751,Construction Employment
CES2000000001,1995,M06,5250.0,0.005747,0.030018,Construction Employment
CES2000000001,1995,M07,5262.0,0.002286,0.026732,Construction Employment
CES2000000001,1995,M08,5286.0,0.004561,0.028605,Construction Employment
CES2000000001,1995,M09,5324.0,0.007189,0.028792,Construction Employment
CES2000000001,1995,M10,5353.0,0.005447,0.033997,Construction Employment
CES2000000001,1995,M11,5358.0,0.000934,0.028407,Construction Employment
CES2000000001,1995,M12,5344.0,-0.002613,0.022579,Construction Employment
CES2000000001,1996,M01,5355.0,0.002058,0.023118,Construction Employment
CES2000000001,1996,M02,5415.0,0.011204,0.042951,Construction Employment
CES2000000001,1996,M03,5446.0,0.005725,0.038916,Construction Employment
CES2000000001,1996,M04,5474.0,0.005141,0.04227,Construction Employment
CES2000000001,1996,M05,5498.0,0.004384,0.053257,Construction Employment
CES2000000001,1996,M06,5534.0,0.006548,0.054095,Construction Employment
CES2000000001,1996,M07,5557.0,0.004156,0.056062,Construction Employment
CES2000000001,1996,M08,5586.0,0.005219,0.056754,Construction Employment
CES2000000001,1996,M09,5610.0,0.004296,0.053719,Construction Employment
CES2000000001,1996,M10,5643.0,0.005882,0.054175,Construction Employment
CES2000000001,1996,M11,5668.0,0.00443,0.057857,Construction Employment
CES2000000001,1996,M12,5675.0,0.001235,0.061939,Construction Employment
CES2000000001,1997,M01,5675.0,0.0,0.059757,Construction Employment
CES2000000001,1997,M02,5722.0,0.008282,0.056694,Construction Employment
CES2000000001,1997,M03,5751.0,0.005068,0.056004,Construction Employment
CES2000000001,1997,M04,5764.0,0.00226,0.052978,Construction Employment
CES2000000001,1997,M05,5793.0,0.005031,0.053656,Construction Employment
CES2000000001,1997,M06,5793.0,0.0,0.046802,Construction Employment
CES2000000001,1997,M07,5817.0,0.004143,0.046788,Construction Employment
CES2000000001,1997,M08,5846.0,0.004985,0.046545,Construction Employment
CES2000000001,1997,M09,5874.0,0.00479,0.047059,Construction Employment
CES2000000001,1997,M10,5883.0,0.001532,0.042531,Construction Employment
CES2000000001,1997,M11,5899.0,0.00272,0.040755,Construction Employment
CES2000000001,1997,M12,5938.0,0.006611,0.046344,Construction Employment
CES2000000001,1998,M01,5983.0,0.007578,0.054273,Construction Employment
CES2000000001,1998,M02,5997.0,0.00234,0.04806,Construction Employment
CES2000000001,1998,M03,5969.0,-0.004669,0.037906,Construction Employment
CES2000000001,1998,M04,6049.0,0.013403,0.049445,Construction Employment
CES2000000001,1998,M05,6087.0,0.006282,0.050751,Construction Employment
CES2000000001,1998,M06,6130.0,0.007064,0.058174,Construction Employment
CES2000000001,1998,M07,6172.0,0.006852,0.061028,Construction Employment
CES2000000001,1998,M08,6215.0,0.006967,0.06312,Construction Employment
CES2000000001,1998,M09,6225.0,0.001609,0.059755,Construction Employment
CES2000000001,1998,M10,6262.0,0.005944,0.064423,Construction Employment
CES2000000001,1998,M11,6301.0,0.006228,0.068147,Construction Employment
CES2000000001,1998,M12,6378.0,0.01222,0.074099,Construction Employment
CES2000000001,1999,M01,6357.0,-0.003293,0.06251,Construction Employment
CES2000000001,1999,M02,6429.0,0.011326,0.072036,Construction Employment
CES2000000001,1999,M03,6402.0,-0.0042,0.072541,Construction Employment
CES2000000001,1999,M04,6480.0,0.012184,0.071251,Construction Employment
CES2000000001,1999,M05,6516.0,0.005556,0.070478,Construction Employment
CES2000000001,1999,M06,6547.0,0.004758,0.068026,Construction Employment
CES2000000001,1999,M07,6571.0,0.003666,0.064647,Construction Employment
CES2000000001,1999,M08,6586.0,0.002283,0.059694,Construction Employment
CES2000000001,1999,M09,6613.0,0.0041,0.062329,Construction Employment
CES2000000001,1999,M10,6640.0,0.004083,0.060364,Construction Employment
CES2000000001,1999,M11,6687.0,0.007078,0.06126,Construction Employment
CES2000000001,1999,M12,6709.0,0.00329,0.051897,Construction Employment
CES2000000001,2000,M01,6752.0,0.006409,0.062136,Construction Employment
CES2000000001,2000,M02,6730.0,-0.003258,0.046819,Construction Employment
CES2000000001,2000,M03,6811.0,0.012036,0.063886,Construction Employment
CES2000000001,2000,M04,6794.0,-0.002496,0.048457,Construction Employment
CES2000000001,2000,M05,6770.0,-0.003533,0.038981,Construction Employment
CES2000000001,2000,M06,6778.0,0.001182,0.035283,Construction Employment
CES2000000001,2000,M07,6794.0,0.002361,0.033937,Construction Employment
CES2000000001,2000,M08,6796.0,0.000294,0.031886,Construction Employment
CES2000000001,2000,M09,6807.0,0.001619,0.029336,Construction Employment
CES2000000001,2000,M10,6814.0,0.001028,0.026205,Construction Employment
CES2000000001,2000,M11,6817.0,0.00044,0.019441,Construction Employment
CES2000000001,2000,M12,6792.0,-0.003667,0.012371,Construction Employment
CES2000000001,2001,M01,6824.0,0.004711,0.010664,Construction Employment
CES2000000001,2001,M02,6841.0,0.002491,0.016493,Construction Employment
CES2000000001,2001,M03,6862.0,0.00307,0.007488,Construction Employment
CES2000000001,2001,M04,6844.0,-0.002623,0.007359,Construction Employment
