series_id,year,month,value,mom_growth,yoy_growth,series_name
CUUR0000SA0,1986,M01,109.6,,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M02,109.3,-0.002737,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M03,108.8,-0.004575,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M04,108.6,-0.001838,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M05,108.9,0.002762,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M06,109.5,0.00551,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M07,109.5,0.0,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M08,109.7,0.001826,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M09,110.2,0.004558,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M10,110.3,0.000907,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M11,110.4,0.000907,,Consumer Price Index (CPI-U)
CUUR0000SA0,1986,M12,110.5,0.000906,,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M01,111.2,0.006335,0.014599,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M02,111.6,0.003597,0.021043,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M03,112.1,0.00448,0.030331,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M04,112.7,0.005352,0.037753,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M05,113.1,0.003549,0.038567,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M06,113.5,0.003537,0.03653,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M07,113.8,0.002643,0.039269,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M08,114.4,0.005272,0.042844,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M09,115.0,0.005245,0.043557,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M10,115.3,0.002609,0.045331,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M11,115.4,0.000867,0.04529,Consumer Price Index (CPI-U)
CUUR0000SA0,1987,M12,115.4,0.0,0.044344,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M01,115.7,0.0026,0.040468,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M02,116.0,0.002593,0.039427,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M03,116.5,0.00431,0.039251,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M04,117.1,0.00515,0.039042,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M05,117.5,0.003416,0.038904,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M06,118.0,0.004255,0.039648,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M07,118.5,0.004237,0.041301,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M08,119.0,0.004219,0.04021,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M09,119.8,0.006723,0.041739,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M10,120.2,0.003339,0.042498,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M11,120.3,0.000832,0.042461,Consumer Price Index (CPI-U)
CUUR0000SA0,1988,M12,120.5,0.001663,0.044194,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M01,121.1,0.004979,0.046672,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M02,121.6,0.004129,0.048276,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M03,122.3,0.005757,0.049785,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M04,123.1,0.006541,0.051238,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M05,123.8,0.005686,0.053617,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M06,124.1,0.002423,0.051695,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M07,124.4,0.002417,0.049789,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M08,124.6,0.001608,0.047059,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M09,125.0,0.00321,0.043406,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M10,125.6,0.0048,0.044925,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M11,125.9,0.002389,0.04655,Consumer Price Index (CPI-U)
CUUR0000SA0,1989,M12,126.1,0.001589,0.046473,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M01,127.4,0.010309,0.052023,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M02,128.0,0.00471,0.052632,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M03,128.7,0.005469,0.05233,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M04,128.9,0.001554,0.047116,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M05,129.2,0.002327,0.043619,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M06,129.9,0.005418,0.046737,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M07,130.4,0.003849,0.048232,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M08,131.6,0.009202,0.05618,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M09,132.7,0.008359,0.0616,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M10,133.5,0.006029,0.062898,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M11,133.8,0.002247,0.062748,Consumer Price Index (CPI-U)
CUUR0000SA0,1990,M12,133.8,0.0,0.061063,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M01,134.6,0.005979,0.056515,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M02,134.8,0.001486,0.053125,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M03,135.0,0.001484,0.048951,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M04,135.2,0.001481,0.048875,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M05,135.6,0.002959,0.049536,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M06,136.0,0.00295,0.046959,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M07,136.2,0.001471,0.044479,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M08,136.6,0.002937,0.037994,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M09,137.2,0.004392,0.033911,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M10,137.4,0.001458,0.029213,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M11,137.8,0.002911,0.029895,Consumer Price Index (CPI-U)
CUUR0000SA0,1991,M12,137.9,0.000726,0.030643,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M01,138.1,0.00145,0.026003,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M02,138.6,0.003621,0.02819,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M03,139.3,0.005051,0.031852,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M04,139.5,0.001436,0.031805,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M05,139.7,0.001434,0.030236,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M06,140.2,0.003579,0.030882,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M07,140.5,0.00214,0.031571,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M08,140.9,0.002847,0.031479,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M09,141.3,0.002839,0.029883,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M10,141.8,0.003539,0.032023,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M11,142.0,0.00141,0.030479,Consumer Price Index (CPI-U)
CUUR0000SA0,1992,M12,141.9,-0.000704,0.029007,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M01,142.6,0.004933,0.032585,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M02,143.1,0.003506,0.032468,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M03,143.6,0.003494,0.030869,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M04,144.0,0.002786,0.032258,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M05,144.2,0.001389,0.032212,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M06,144.4,0.001387,0.029957,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M07,144.4,0.0,0.027758,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M08,144.8,0.00277,0.027679,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M09,145.1,0.002072,0.026893,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M10,145.7,0.004135,0.027504,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M11,145.8,0.000686,0.026761,Consumer Price Index (CPI-U)
CUUR0000SA0,1993,M12,145.8,0.0,0.027484,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M01,146.2,0.002743,0.025245,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M02,146.7,0.00342,0.025157,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M03,147.2,0.003408,0.02507,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M04,147.4,0.001359,0.023611,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M05,147.5,0.000678,0.022885,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M06,148.0,0.00339,0.024931,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M07,148.4,0.002703,0.027701,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M08,149.0,0.004043,0.029006,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M09,149.4,0.002685,0.029635,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M10,149.5,0.000669,0.026081,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M11,149.7,0.001338,0.026749,Consumer Price Index (CPI-U)
CUUR0000SA0,1994,M12,149.7,0.0,0.026749,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M01,150.3,0.004008,0.028044,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M02,150.9,0.003992,0.02863,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M03,151.4,0.003313,0.028533,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M04,151.9,0.003303,0.030529,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M05,152.2,0.001975,0.031864,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M06,152.5,0.001971,0.030405,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M07,152.5,0.0,0.027628,Consumer Price Index (CPI-U)
CUUR0000SA0,1995,M08,152.9,0.002623,0.026174,Consumer Price Index (CPI-U)
