series_id,year,month,value,mom_growth,yoy_growth,series_name
LNS14000000,1986,M01,6.7,,,Unemployment Rate
LNS14000000,1986,M02,7.2,0.074627,,Unemployment Rate
LNS14000000,1986,M03,7.2,0.0,,Unemployment Rate
LNS14000000,1986,M04,7.1,-0.013889,,Unemployment Rate
LNS14000000,1986,M05,7.2,0.014085,,Unemployment Rate
LNS14000000,1986,M06,7.2,0.0,,Unemployment Rate
LNS14000000,1986,M07,7.0,-0.027778,,Unemployment Rate
LNS14000000,1986,M08,6.9,-0.014286,,Unemployment Rate
LNS14000000,1986,M09,7.0,0.014493,,Unemployment Rate
LNS14000000,1986,M10,7.0,0.0,,Unemployment Rate
LNS14000000,1986,M11,6.9,-0.014286,,Unemployment Rate
LNS14000000,1986,M12,6.6,-0.043478,,Unemployment Rate
LNS14000000,1987,M01,6.6,0.0,-0.014925,Unemployment Rate
LNS14000000,1987,M02,6.6,0.0,-0.083333,Unemployment Rate
LNS14000000,1987,M03,6.6,0.0,-0.083333,Unemployment Rate
LNS14000000,1987,M04,6.3,-0.045455,-0.112676,Unemployment Rate
LNS14000000,1987,M05,6.3,0.0,-0.125,Unemployment Rate
LNS14000000,1987,M06,6.2,-0.015873,-0.138889,Unemployment Rate
LNS14000000,1987,M07,6.1,-0.016129,-0.128571,Unemployment Rate
LNS14000000,1987,M08,6.0,-0.016393,-0.130435,Unemployment Rate
LNS14000000,1987,M09,5.9,-0.016667,-0.157143,Unemployment Rate
LNS14000000,1987,M10,6.0,0.016949,-0.142857,Unemployment Rate
LNS14000000,1987,M11,5.8,-0.033333,-0.15942,Unemployment Rate
LNS14000000,1987,M12,5.7,-0.017241,-0.136364,Unemployment Rate
LNS14000000,1988,M01,5.7,0.0,-0.136364,Unemployment Rate
LNS14000000,1988,M02,5.7,0.0,-0.136364,Unemployment Rate
LNS14000000,1988,M03,5.7,0.0,-0.136364,Unemployment Rate
LNS14000000,1988,M04,5.4,-0.052632,-0.142857,Unemployment Rate
LNS14000000,1988,M05,5.6,0.037037,-0.111111,Unemployment Rate
LNS14000000,1988,M06,5.4,-0.035714,-0.129032,Unemployment Rate
LNS14000000,1988,M07,5.4,0.0,-0.114754,Unemployment Rate
LNS14000000,1988,M08,5.6,0.037037,-0.066667,Unemployment Rate
LNS14000000,1988,M09,5.4,-0.035714,-0.084746,Unemployment Rate
LNS14000000,1988,M10,5.4,0.0,-0.1,Unemployment Rate
LNS14000000,1988,M11,5.3,-0.018519,-0.086207,Unemployment Rate
LNS14000000,1988,M12,5.3,0.0,-0.070175,Unemployment Rate
LNS14000000,1989,M01,5.4,0.018868,-0.052632,Unemployment Rate
LNS14000000,1989,M02,5.2,-0.037037,-0.087719,Unemployment Rate
LNS14000000,1989,M03,5.0,-0.038462,-0.122807,Unemployment Rate
LNS14000000,1989,M04,5.2,0.04,-0.037037,Unemployment Rate
LNS14000000,1989,M05,5.2,0.0,-0.071429,Unemployment Rate
LNS14000000,1989,M06,5.3,0.019231,-0.018519,Unemployment Rate
LNS14000000,1989,M07,5.2,-0.018868,-0.037037,Unemployment Rate
LNS14000000,1989,M08,5.2,0.0,-0.071429,Unemployment Rate
LNS14000000,1989,M09,5.3,0.019231,-0.018519,Unemployment Rate
