series_id,year,month,value,mom_growth,yoy_growth,series_name
PCU23821X23821X,2008,M01,100.1,,,Electrical Contractors
PCU23821X23821X,2008,M02,100.2,0.000999,,Electrical Contractors
PCU23821X23821X,2008,M03,100.2,0.0,,Electrical Contractors
PCU23821X23821X,2008,M04,100.1,-0.000998,,Electrical Contractors
PCU23821X23821X,2008,M05,100.2,0.000999,,Electrical Contractors
PCU23821X23821X,2008,M06,100.9,0.006986,,Electrical Contractors
PCU23821X23821X,2008,M07,101.1,0.001982,,Electrical Contractors
PCU23821X23821X,2008,M08,101.1,0.0,,Electrical Contractors
PCU23821X23821X,2008,M09,102.3,0.011869,,Electrical Contractors
PCU23821X23821X,2008,M10,104.0,0.016618,,Electrical Contractors
PCU23821X23821X,2008,M11,103.9,-0.000962,,Electrical Contractors
PCU23821X23821X,2008,M12,104.8,0.008662,,Electrical Contractors
PCU23821X23821X,2009,M01,105.3,0.004771,0.051948,Electrical Contractors
PCU23821X23821X,2009,M02,104.9,-0.003799,0.046906,Electrical Contractors
PCU23821X23821X,2009,M03,104.8,-0.000953,0.045908,Electrical Contractors
PCU23821X23821X,2009,M04,103.3,-0.014313,0.031968,Electrical Contractors
PCU23821X23821X,2009,M05,103.2,-0.000968,0.02994,Electrical Contractors
PCU23821X23821X,2009,M06,102.5,-0.006783,0.015857,Electrical Contractors
PCU23821X23821X,2009,M07,101.0,-0.014634,-0.000989,Electrical Contractors
PCU23821X23821X,2009,M08,101.0,0.0,-0.000989,Electrical Contractors
PCU23821X23821X,2009,M09,101.1,0.00099,-0.01173,Electrical Contractors
PCU23821X23821X,2009,M10,101.6,0.004946,-0.023077,Electrical Contractors
PCU23821X23821X,2009,M11,101.3,-0.002953,-0.025024,Electrical Contractors
PCU23821X23821X,2009,M12,101.3,0.0,-0.033397,Electrical Contractors
PCU23821X23821X,2010,M01,101.4,0.000987,-0.037037,Electrical Contractors
PCU23821X23821X,2010,M02,101.3,-0.000986,-0.034318,Electrical Contractors
PCU23821X23821X,2010,M03,101.1,-0.001974,-0.035305,Electrical Contractors
PCU23821X23821X,2010,M04,101.3,0.001978,-0.019361,Electrical Contractors
PCU23821X23821X,2010,M05,101.3,0.0,-0.018411,Electrical Contractors
