series_id,year,month,value,mom_growth,yoy_growth,series_name
WPU4531,2009,M03,100.0,,,Architectural Services
WPU4531,2009,M04,100.0,0.0,,Architectural Services
WPU4531,2009,M05,100.0,0.0,,Architectural Services
WPU4531,2009,M06,100.0,0.0,,Architectural Services
WPU4531,2009,M07,99.9,-0.001,,Architectural Services
WPU4531,2009,M08,100.1,0.002002,,Architectural Services
WPU4531,2009,M09,100.1,0.0,,Architectural Services
WPU4531,2009,M10,99.6,-0.004995,,Architectural Services
WPU4531,2009,M11,99.7,0.001004,,Architectural Services
WPU4531,2009,M12,99.7,0.0,,Architectural Services
WPU4531,2010,M01,99.4,-0.003009,,Architectural Services
WPU4531,2010,M02,99.4,0.0,,Architectural Services
WPU4531,2010,M03,99.5,0.001006,-0.005,Architectural Services
WPU4531,2010,M04,99.2,-0.003015,-0.008,Architectural Services
WPU4531,2010,M05,98.9,-0.003024,-0.011,Architectural Services
WPU4531,2010,M06,98.9,0.0,-0.011,Architectural Services
WPU4531,2010,M07,98.6,-0.003033,-0.013013,Architectural Services
WPU4531,2010,M08,98.4,-0.002028,-0.016983,Architectural Services
WPU4531,2010,M09,98.4,0.0,-0.016983,Architectural Services
WPU4531,2010,M10,98.9,0.005081,-0.007028,Architectural Services
WPU4531,2010,M11,98.8,-0.001011,-0.009027,Architectural Services
WPU4531,2010,M12,98.8,0.0,-0.009027,Architectural Services
WPU4531,2011,M01,98.8,0.0,-0.006036,Architectural Services
WPU4531,2011,M02,98.6,-0.002024,-0.008048,Architectural Services
WPU4531,2011,M03,98.7,0.001014,-0.00804,Architectural Services
WPU4531,2011,M04,98.8,0.001013,-0.004032,Architectural Services
WPU4531,2011,M05,98.8,0.0,-0.001011,Architectural Services
WPU4531,2011,M06,98.8,0.0,-0.001011,Architectural Services
WPU4531,2011,M07,98.8,0.0,0.002028,Architectural Services
WPU4531,2011,M08,98.8,0.0,0.004065,Architectural Services
WPU4531,2011,M09,99.0,0.002024,0.006098,Architectural Services
WPU4531,2011,M10,99.1,0.00101,0.002022,Architectural Services
WPU4531,2011,M11,99.2,0.001009,0.004049,Architectural Services
WPU4531,2011,M12,99.2,0.0,0.004049,Architectural Services
WPU4531,2012,M01,99.3,0.001008,0.005061,Architectural Services
WPU4531,2012,M02,99.4,0.001007,0.008114,Architectural Services
WPU4531,2012,M03,99.4,0.0,0.007092,Architectural Services
WPU4531,2012,M04,99.4,0.0,0.006073,Architectural Services
WPU4531,2012,M05,99.4,0.0,0.006073,Architectural Services
WPU4531,2012,M06,99.5,0.001006,0.007085,Architectural Services
WPU4531,2012,M07,99.5,0.0,0.007085,Architectural Services
WPU4531,2012,M08,99.1,-0.00402,0.003036,Architectural Services
WPU4531,2012,M09,99.2,0.001009,0.00202,Architectural Services
WPU4531,2012,M10,99.2,0.0,0.001009,Architectural Services
WPU4531,2012,M11,99.2,0.0,0.0,Architectural Services
WPU4531,2012,M12,99.2,0.0,0.0,Architectural Services
WPU4531,2013,M01,99.4,0.002016,0.001007,Architectural Services
WPU4531,2013,M02,99.4,0.0,0.0,Architectural Services
WPU4531,2013,M03,99.5,0.001006,0.001006,Architectural Services
WPU4531,2013,M04,100.0,0.005025,0.006036,Architectural Services
WPU4531,2013,M05,100.1,0.001,0.007042,Architectural Services
WPU4531,2013,M06,100.1,0.0,0.00603,Architectural Services
WPU4531,2013,M07,100.4,0.002997,0.009045,Architectural Services
WPU4531,2013,M08,100.6,0.001992,0.015136,Architectural Services
WPU4531,2013,M09,100.7,0.000994,0.015121,Architectural Services
WPU4531,2013,M10,101.1,0.003972,0.019153,Architectural Services
WPU4531,2013,M11,100.9,-0.001978,0.017137,Architectural Services
WPU4531,2013,M12,100.9,0.0,0.017137,Architectural Services
WPU4531,2014,M01,101.3,0.003964,0.019115,Architectural Services
WPU4531,2014,M02,101.4,0.000987,0.020121,Architectural Services
WPU4531,2014,M03,101.8,0.003945,0.023116,Architectural Services
WPU4531,2014,M04,102.1,0.002947,0.021,Architectural Services
WPU4531,2014,M05,102.2,0.000979,0.020979,Architectural Services
WPU4531,2014,M06,102.3,0.000978,0.021978,Architectural Services
WPU4531,2014,M07,102.3,0.0,0.018924,Architectural Services
WPU4531,2014,M08,102.5,0.001955,0.018887,Architectural Services
WPU4531,2014,M09,102.9,0.003902,0.021847,Architectural Services
WPU4531,2014,M10,102.9,0.0,0.017804,Architectural Services
WPU4531,2014,M11,103.0,0.000972,0.020813,Architectural Services
WPU4531,2014,M12,103.2,0.001942,0.022795,Architectural Services
WPU4531,2015,M01,103.7,0.004845,0.023692,Architectural Services
WPU4531,2015,M02,103.8,0.000964,0.023669,Architectural Services
WPU4531,2015,M03,103.9,0.000963,0.020629,Architectural Services
WPU4531,2015,M04,103.9,0.0,0.01763,Architectural Services
WPU4531,2015,M05,104.0,0.000962,0.017613,Architectural Services
WPU4531,2015,M06,104.2,0.001923,0.018573,Architectural Services
WPU4531,2015,M07,104.4,0.001919,0.020528,Architectural Services
WPU4531,2015,M08,104.4,0.0,0.018537,Architectural Services
WPU4531,2015,M09,104.7,0.002874,0.017493,Architectural Services
WPU4531,2015,M10,104.6,-0.000955,0.016521,Architectural Services
WPU4531,2015,M11,104.7,0.000956,0.016505,Architectural Services
WPU4531,2015,M12,105.1,0.00382,0.018411,Architectural Services
