series_id,year,month,value,mom_growth,yoy_growth,series_name
WPUIP231234,2014,M12,100.0,,,Other Misc. Non Residential Construction
WPUIP231234,2015,M01,98.5,-0.015,,Other Misc. Non Residential Construction
WPUIP231234,2015,M02,98.8,0.003046,,Other Misc. Non Residential Construction
WPUIP231234,2015,M03,99.5,0.007085,,Other Misc. Non Residential Construction
WPUIP231234,2015,M04,99.5,0.0,,Other Misc. Non Residential Construction
WPUIP231234,2015,M05,100.8,0.013065,,Other Misc. Non Residential Construction
WPUIP231234,2015,M06,100.8,0.0,,Other Misc. Non Residential Construction
WPUIP231234,2015,M07,100.7,-0.000992,,Other Misc. Non Residential Construction
WPUIP231234,2015,M08,99.9,-0.007944,,Other Misc. Non Residential Construction
WPUIP231234,2015,M09,98.5,-0.014014,,Other Misc. Non Residential Construction
WPUIP231234,2015,M10,98.3,-0.00203,,Other Misc. Non Residential Construction
WPUIP231234,2015,M11,97.9,-0.004069,,Other Misc. Non Residential Construction
WPUIP231234,2015,M12,96.6,-0.013279,-0.034,Other Misc. Non Residential Construction
WPUIP231234,2016,M01,96.2,-0.004141,-0.02335,Other Misc. Non Residential Construction
WPUIP231234,2016,M02,95.8,-0.004158,-0.030364,Other Misc. Non Residential Construction
WPUIP231234,2016,M03,96.4,0.006263,-0.031156,Other Misc. Non Residential Construction
WPUIP231234,2016,M04,97.1,0.007261,-0.024121,Other Misc. Non Residential Construction
WPUIP231234,2016,M05,98.0,0.009269,-0.027778,Other Misc. Non Residential Construction
WPUIP231234,2016,M06,98.9,0.009184,-0.018849,Other Misc. Non Residential Construction
WPUIP231234,2016,M07,98.9,0.0,-0.017875,Other Misc. Non Residential Construction
WPUIP231234,2016,M08,98.4,-0.005056,-0.015015,Other Misc. Non Residential Construction
WPUIP231234,2016,M09,98.5,0.001016,0.0,Other Misc. Non Residential Construction
WPUIP231234,2016,M10,98.4,-0.001015,0.001017,Other Misc. Non Residential Construction
WPUIP231234,2016,M11,98.0,-0.004065,0.001021,Other Misc. Non Residential Construction
WPUIP231234,2016,M12,98.7,0.007143,0.021739,Other Misc. Non Residential Construction
WPUIP231234,2017,M01,99.5,0.008105,0.034304,Other Misc. Non Residential Construction
WPUIP231234,2017,M02,100.0,0.005025,0.043841,Other Misc. Non Residential Construction
WPUIP231234,2017,M03,100.3,0.003,0.040456,Other Misc. Non Residential Construction
WPUIP231234,2017,M04,101.0,0.006979,0.040165,Other Misc. Non Residential Construction
WPUIP231234,2017,M05,101.0,0.0,0.030612,Other Misc. Non Residential Construction
WPUIP231234,2017,M06,101.0,0.0,0.021234,Other Misc. Non Residential Construction
WPUIP231234,2017,M07,100.9,-0.00099,0.020222,Other Misc. Non Residential Construction
WPUIP231234,2017,M08,101.9,0.009911,0.035569,Other Misc. Non Residential Construction
WPUIP231234,2017,M09,102.6,0.006869,0.041624,Other Misc. Non Residential Construction
WPUIP231234,2017,M10,102.8,0.001949,0.044715,Other Misc. Non Residential Construction
