series_id,year,month,value,mom_growth,yoy_growth,series_name
WPUSI004011,1986,M01,104.2,,,Lumber and Plywood
WPUSI004011,1986,M02,103.8,-0.003839,,Lumber and Plywood
WPUSI004011,1986,M03,106.3,0.024085,,Lumber and Plywood
WPUSI004011,1986,M04,111.2,0.046096,,Lumber and Plywood
WPUSI004011,1986,M05,110.4,-0.007194,,Lumber and Plywood
WPUSI004011,1986,M06,108.0,-0.021739,,Lumber and Plywood
WPUSI004011,1986,M07,108.6,0.005556,,Lumber and Plywood
WPUSI004011,1986,M08,108.6,0.0,,Lumber and Plywood
WPUSI004011,1986,M09,109.8,0.01105,,Lumber and Plywood
WPUSI004011,1986,M10,108.7,-0.010018,,Lumber and Plywood
WPUSI004011,1986,M11,109.1,0.00368,,Lumber and Plywood
WPUSI004011,1986,M12,108.4,-0.006416,,Lumber and Plywood
WPUSI004011,1987,M01,108.8,0.00369,0.044146,Lumber and Plywood
WPUSI004011,1987,M02,111.1,0.02114,0.070328,Lumber and Plywood
WPUSI004011,1987,M03,112.5,0.012601,0.058325,Lumber and Plywood
WPUSI004011,1987,M04,112.4,-0.000889,0.010791,Lumber and Plywood
WPUSI004011,1987,M05,111.9,-0.004448,0.013587,Lumber and Plywood
WPUSI004011,1987,M06,112.4,0.004468,0.040741,Lumber and Plywood
WPUSI004011,1987,M07,114.1,0.015125,0.050645,Lumber and Plywood
WPUSI004011,1987,M08,115.3,0.010517,0.061694,Lumber and Plywood
WPUSI004011,1987,M09,118.8,0.030356,0.081967,Lumber and Plywood
WPUSI004011,1987,M10,116.0,-0.023569,0.067157,Lumber and Plywood
WPUSI004011,1987,M11,116.3,0.002586,0.065995,Lumber and Plywood
WPUSI004011,1987,M12,115.8,-0.004299,0.068266,Lumber and Plywood
WPUSI004011,1988,M01,116.4,0.005181,0.069853,Lumber and Plywood
WPUSI004011,1988,M02,116.7,0.002577,0.050405,Lumber and Plywood
WPUSI004011,1988,M03,117.3,0.005141,0.042667,Lumber and Plywood
WPUSI004011,1988,M04,117.6,0.002558,0.046263,Lumber and Plywood
WPUSI004011,1988,M05,116.9,-0.005952,0.044683,Lumber and Plywood
WPUSI004011,1988,M06,117.9,0.008554,0.048932,Lumber and Plywood
WPUSI004011,1988,M07,119.4,0.012723,0.04645,Lumber and Plywood
WPUSI004011,1988,M08,116.5,-0.024288,0.010408,Lumber and Plywood
WPUSI004011,1988,M09,116.8,0.002575,-0.016835,Lumber and Plywood
WPUSI004011,1988,M10,115.2,-0.013699,-0.006897,Lumber and Plywood
WPUSI004011,1988,M11,115.3,0.000868,-0.008598,Lumber and Plywood
WPUSI004011,1988,M12,114.9,-0.003469,-0.007772,Lumber and Plywood
WPUSI004011,1989,M01,116.0,0.009574,-0.003436,Lumber and Plywood
WPUSI004011,1989,M02,118.9,0.025,0.018852,Lumber and Plywood
WPUSI004011,1989,M03,120.1,0.010093,0.02387,Lumber and Plywood
WPUSI004011,1989,M04,122.2,0.017485,0.039116,Lumber and Plywood
WPUSI004011,1989,M05,124.3,0.017185,0.063302,Lumber and Plywood
WPUSI004011,1989,M06,124.4,0.000805,0.055131,Lumber and Plywood
WPUSI004011,1989,M07,126.9,0.020096,0.062814,Lumber and Plywood
WPUSI004011,1989,M08,125.0,-0.014972,0.072961,Lumber and Plywood
WPUSI004011,1989,M09,124.8,-0.0016,0.068493,Lumber and Plywood
WPUSI004011,1989,M10,127.9,0.02484,0.110243,Lumber and Plywood
WPUSI004011,1989,M11,125.4,-0.019547,0.087598,Lumber and Plywood
WPUSI004011,1989,M12,121.6,-0.030303,0.058312,Lumber and Plywood
WPUSI004011,1990,M01,121.8,0.001645,0.05,Lumber and Plywood
WPUSI004011,1990,M02,123.2,0.011494,0.036165,Lumber and Plywood
WPUSI004011,1990,M03,124.4,0.00974,0.035803,Lumber and Plywood
WPUSI004011,1990,M04,128.6,0.033762,0.052373,Lumber and Plywood
WPUSI004011,1990,M05,126.9,-0.013219,0.020917,Lumber and Plywood
WPUSI004011,1990,M06,123.2,-0.029157,-0.009646,Lumber and Plywood
WPUSI004011,1990,M07,124.2,0.008117,-0.021277,Lumber and Plywood
WPUSI004011,1990,M08,121.5,-0.021739,-0.028,Lumber and Plywood
WPUSI004011,1990,M09,120.2,-0.0107,-0.036859,Lumber and Plywood
WPUSI004011,1990,M10,116.7,-0.029118,-0.087568,Lumber and Plywood
WPUSI004011,1990,M11,115.6,-0.009426,-0.07815,Lumber and Plywood
WPUSI004011,1990,M12,115.9,0.002595,-0.046875,Lumber and Plywood
WPUSI004011,1991,M01,115.5,-0.003451,-0.051724,Lumber and Plywood
WPUSI004011,1991,M02,114.3,-0.01039,-0.07224,Lumber and Plywood
WPUSI004011,1991,M03,115.6,0.011374,-0.07074,Lumber and Plywood
WPUSI004011,1991,M04,117.5,0.016436,-0.086314,Lumber and Plywood
WPUSI004011,1991,M05,123.7,0.052766,-0.025217,Lumber and Plywood
WPUSI004011,1991,M06,132.2,0.068715,0.073052,Lumber and Plywood
WPUSI004011,1991,M07,132.7,0.003782,0.068438,Lumber and Plywood
WPUSI004011,1991,M08,122.2,-0.079126,0.005761,Lumber and Plywood
WPUSI004011,1991,M09,122.7,0.004092,0.020799,Lumber and Plywood
WPUSI004011,1991,M10,121.3,-0.01141,0.039417,Lumber and Plywood
WPUSI004011,1991,M11,122.5,0.009893,0.059689,Lumber and Plywood
WPUSI004011,1991,M12,125.0,0.020408,0.078516,Lumber and Plywood
WPUSI004011,1992,M01,128.9,0.0312,0.116017,Lumber and Plywood
WPUSI004011,1992,M02,138.7,0.076028,0.213473,Lumber and Plywood
WPUSI004011,1992,M03,143.5,0.034607,0.241349,Lumber and Plywood
WPUSI004011,1992,M04,144.1,0.004181,0.226383,Lumber and Plywood
WPUSI004011,1992,M05,143.6,-0.00347,0.160873,Lumber and Plywood
WPUSI004011,1992,M06,140.0,-0.02507,0.059002,Lumber and Plywood
WPUSI004011,1992,M07,137.9,-0.015,0.039186,Lumber and Plywood
WPUSI004011,1992,M08,138.5,0.004351,0.133388,Lumber and Plywood
WPUSI004011,1992,M09,144.8,0.045487,0.180114,Lumber and Plywood
WPUSI004011,1992,M10,143.2,-0.01105,0.180544,Lumber and Plywood
WPUSI004011,1992,M11,144.6,0.009777,0.180408,Lumber and Plywood
WPUSI004011,1992,M12,153.1,0.058783,0.2248,Lumber and Plywood
WPUSI004011,1993,M01,162.1,0.058785,0.257564,Lumber and Plywood
WPUSI004011,1993,M02,176.7,0.090068,0.273973,Lumber and Plywood
WPUSI004011,1993,M03,188.7,0.067912,0.314983,Lumber and Plywood
WPUSI004011,1993,M04,186.3,-0.012719,0.292852,Lumber and Plywood
WPUSI004011,1993,M05,177.4,-0.047772,0.235376,Lumber and Plywood
WPUSI004011,1993,M06,168.8,-0.048478,0.205714,Lumber and Plywood
WPUSI004011,1993,M07,164.5,-0.025474,0.192893,Lumber and Plywood
WPUSI004011,1993,M08,167.6,0.018845,0.210108,Lumber and Plywood
WPUSI004011,1993,M09,170.7,0.018496,0.178867,Lumber and Plywood
WPUSI004011,1993,M10,172.0,0.007616,0.201117,Lumber and Plywood
WPUSI004011,1993,M11,177.8,0.033721,0.229599,Lumber and Plywood
WPUSI004011,1993,M12,184.4,0.03712,0.204442,Lumber and Plywood
WPUSI004011,1994,M01,189.9,0.029826,0.171499,Lumber and Plywood
WPUSI004011,1994,M02,184.3,-0.029489,0.043011,Lumber and Plywood
WPUSI004011,1994,M03,184.5,0.001085,-0.022258,Lumber and Plywood
WPUSI004011,1994,M04,176.6,-0.042818,-0.052067,Lumber and Plywood
WPUSI004011,1994,M05,175.3,-0.007361,-0.011838,Lumber and Plywood
WPUSI004011,1994,M06,179.5,0.023959,0.063389,Lumber and Plywood
WPUSI004011,1994,M07,175.7,-0.02117,0.068085,Lumber and Plywood
WPUSI004011,1994,M08,177.6,0.010814,0.059666,Lumber and Plywood
WPUSI004011,1994,M09,179.5,0.010698,0.051552,Lumber and Plywood
WPUSI004011,1994,M10,176.9,-0.014485,0.028488,Lumber and Plywood
WPUSI004011,1994,M11,180.6,0.020916,0.015748,Lumber and Plywood
WPUSI004011,1994,M12,179.3,-0.007198,-0.027657,Lumber and Plywood
WPUSI004011,1995,M01,177.8,-0.008366,-0.063718,Lumber and Plywood
WPUSI004011,1995,M02,173.8,-0.022497,-0.056972,Lumber and Plywood
WPUSI004011,1995,M03,175.4,0.009206,-0.049322,Lumber and Plywood
WPUSI004011,1995,M04,172.7,-0.015393,-0.022084,Lumber and Plywood
WPUSI004011,1995,M05,171.4,-0.007528,-0.022248,Lumber and Plywood
WPUSI004011,1995,M06,167.2,-0.024504,-0.068524,Lumber and Plywood
WPUSI004011,1995,M07,171.9,0.02811,-0.021628,Lumber and Plywood
WPUSI004011,1995,M08,172.4,0.002909,-0.029279,Lumber and Plywood
WPUSI004011,1995,M09,174.4,0.011601,-0.028412,Lumber and Plywood
WPUSI004011,1995,M10,171.2,-0.018349,-0.032222,Lumber and Plywood
WPUSI004011,1995,M11,165.9,-0.030958,-0.081395,Lumber and Plywood
WPUSI004011,1995,M12,163.7,-0.013261,-0.087005,Lumber and Plywood
WPUSI004011,1996,M01,162.7,-0.006109,-0.084927,Lumber and Plywood
WPUSI004011,1996,M02,163.6,0.005532,-0.058688,Lumber and Plywood
WPUSI004011,1996,M03,165.1,0.009169,-0.058723,Lumber and Plywood
WPUSI004011,1996,M04,166.8,0.010297,-0.034163,Lumber and Plywood
WPUSI004011,1996,M05,175.3,0.050959,0.022754,Lumber and Plywood
WPUSI004011,1996,M06,177.0,0.009698,0.058612,Lumber and Plywood
WPUSI004011,1996,M07,173.8,-0.018079,0.011053,Lumber and Plywood
WPUSI004011,1996,M08,177.3,0.020138,0.028422,Lumber and Plywood
WPUSI004011,1996,M09,183.6,0.035533,0.052752,Lumber and Plywood
WPUSI004011,1996,M10,176.8,-0.037037,0.03271,Lumber and Plywood
WPUSI004011,1996,M11,181.7,0.027715,0.095238,Lumber and Plywood
WPUSI004011,1996,M12,180.2,-0.008255,0.100794,Lumber and Plywood
WPUSI004011,1997,M01,180.7,0.002775,0.110633,Lumber and Plywood
WPUSI004011,1997,M02,185.6,0.027117,0.134474,Lumber and Plywood
WPUSI004011,1997,M03,187.7,0.011315,0.136887,Lumber and Plywood
WPUSI004011,1997,M04,189.0,0.006926,0.133094,Lumber and Plywood
WPUSI004011,1997,M05,191.3,0.012169,0.091272,Lumber and Plywood
WPUSI004011,1997,M06,188.5,-0.014637,0.064972,Lumber and Plywood
WPUSI004011,1997,M07,189.3,0.004244,0.089183,Lumber and Plywood
WPUSI004011,1997,M08,187.5,-0.009509,0.05753,Lumber and Plywood
WPUSI004011,1997,M09,184.4,-0.016533,0.004357,Lumber and Plywood
WPUSI004011,1997,M10,178.9,-0.029826,0.011878,Lumber and Plywood
WPUSI004011,1997,M11,180.4,0.008385,-0.007155,Lumber and Plywood
WPUSI004011,1997,M12,178.6,-0.009978,-0.008879,Lumber and Plywood
WPUSI004011,1998,M01,176.7,-0.010638,-0.022136,Lumber and Plywood
WPUSI004011,1998,M02,178.0,0.007357,-0.040948,Lumber and Plywood
WPUSI004011,1998,M03,177.8,-0.001124,-0.052744,Lumber and Plywood
WPUSI004011,1998,M04,177.9,0.000562,-0.05873,Lumber and Plywood
WPUSI004011,1998,M05,174.4,-0.019674,-0.088343,Lumber and Plywood
WPUSI004011,1998,M06,169.4,-0.02867,-0.101326,Lumber and Plywood
WPUSI004011,1998,M07,173.7,0.025384,-0.082409,Lumber and Plywood
WPUSI004011,1998,M08,176.9,0.018423,-0.056533,Lumber and Plywood
WPUSI004011,1998,M09,173.3,-0.02035,-0.060195,Lumber and Plywood
WPUSI004011,1998,M10,167.8,-0.031737,-0.062046,Lumber and Plywood
WPUSI004011,1998,M11,168.1,0.001788,-0.068182,Lumber and Plywood
WPUSI004011,1998,M12,170.4,0.013682,-0.045913,Lumber and Plywood
WPUSI004011,1999,M01,173.4,0.017606,-0.018676,Lumber and Plywood
WPUSI004011,1999,M02,178.5,0.029412,0.002809,Lumber and Plywood
WPUSI004011,1999,M03,182.7,0.023529,0.027559,Lumber and Plywood
WPUSI004011,1999,M04,181.6,-0.006021,0.020798,Lumber and Plywood
WPUSI004011,1999,M05,186.5,0.026982,0.069381,Lumber and Plywood
WPUSI004011,1999,M06,195.8,0.049866,0.155844,Lumber and Plywood
WPUSI004011,1999,M07,204.7,0.045455,0.178469,Lumber and Plywood
WPUSI004011,1999,M08,197.7,-0.034196,0.117581,Lumber and Plywood
WPUSI004011,1999,M09,186.4,-0.057157,0.075591,Lumber and Plywood
WPUSI004011,1999,M10,177.1,-0.049893,0.055423,Lumber and Plywood
WPUSI004011,1999,M11,178.7,0.009034,0.063058,Lumber and Plywood
WPUSI004011,1999,M12,180.5,0.010073,0.059272,Lumber and Plywood
WPUSI004011,2000,M01,182.0,0.00831,0.049596,Lumber and Plywood
WPUSI004011,2000,M02,182.1,0.000549,0.020168,Lumber and Plywood
WPUSI004011,2000,M03,182.6,0.002746,-0.000547,Lumber and Plywood
WPUSI004011,2000,M04,181.4,-0.006572,-0.001101,Lumber and Plywood
WPUSI004011,2000,M05,174.1,-0.040243,-0.066488,Lumber and Plywood
WPUSI004011,2000,M06,173.2,-0.005169,-0.115424,Lumber and Plywood
WPUSI004011,2000,M07,170.3,-0.016744,-0.168051,Lumber and Plywood
WPUSI004011,2000,M08,167.8,-0.01468,-0.151239,Lumber and Plywood
WPUSI004011,2000,M09,167.6,-0.001192,-0.100858,Lumber and Plywood
WPUSI004011,2000,M10,167.3,-0.00179,-0.055336,Lumber and Plywood
WPUSI004011,2000,M11,165.7,-0.009564,-0.072748,Lumber and Plywood
WPUSI004011,2000,M12,164.7,-0.006035,-0.087535,Lumber and Plywood
WPUSI004011,2001,M01,161.5,-0.019429,-0.112637,Lumber and Plywood
WPUSI004011,2001,M02,162.3,0.004954,-0.108731,Lumber and Plywood
WPUSI004011,2001,M03,163.9,0.009858,-0.10241,Lumber and Plywood
WPUSI004011,2001,M04,164.0,0.00061,-0.095921,Lumber and Plywood
WPUSI004011,2001,M05,177.0,0.079268,0.016657,Lumber and Plywood
WPUSI004011,2001,M06,178.9,0.010734,0.03291,Lumber and Plywood
WPUSI004011,2001,M07,170.5,-0.046954,0.001174,Lumber and Plywood
WPUSI004011,2001,M08,171.8,0.007625,0.023838,Lumber and Plywood
WPUSI004011,2001,M09,170.1,-0.009895,0.014916,Lumber and Plywood
WPUSI004011,2001,M10,163.2,-0.040564,-0.024507,Lumber and Plywood
WPUSI004011,2001,M11,162.0,-0.007353,-0.02233,Lumber and Plywood
WPUSI004011,2001,M12,159.9,-0.012963,-0.029144,Lumber and Plywood
WPUSI004011,2002,M01,163.2,0.020638,0.010526,Lumber and Plywood
WPUSI004011,2002,M02,166.2,0.018382,0.02403,Lumber and Plywood
WPUSI004011,2002,M03,171.0,0.028881,0.043319,Lumber and Plywood
WPUSI004011,2002,M04,170.7,-0.001754,0.040854,Lumber and Plywood
WPUSI004011,2002,M05,167.6,-0.018161,-0.053107,Lumber and Plywood
WPUSI004011,2002,M06,165.6,-0.011933,-0.074343,Lumber and Plywood
WPUSI004011,2002,M07,165.1,-0.003019,-0.031672,Lumber and Plywood
WPUSI004011,2002,M08,166.5,0.00848,-0.03085,Lumber and Plywood
WPUSI004011,2002,M09,164.7,-0.010811,-0.031746,Lumber and Plywood
WPUSI004011,2002,M10,163.3,-0.0085,0.000613,Lumber and Plywood
WPUSI004011,2002,M11,162.3,-0.006124,0.001852,Lumber and Plywood
WPUSI004011,2002,M12,162.2,-0.000616,0.014384,Lumber and Plywood
WPUSI004011,2003,M01,162.4,0.001233,-0.004902,Lumber and Plywood
WPUSI004011,2003,M02,164.5,0.012931,-0.010229,Lumber and Plywood
WPUSI004011,2003,M03,163.1,-0.008511,-0.046199,Lumber and Plywood
WPUSI004011,2003,M04,163.2,0.000613,-0.043937,Lumber and Plywood
WPUSI004011,2003,M05,163.2,0.0,-0.026253,Lumber and Plywood
WPUSI004011,2003,M06,165.3,0.012868,-0.001812,Lumber and Plywood
WPUSI004011,2003,M07,171.9,0.039927,0.041187,Lumber and Plywood
WPUSI004011,2003,M08,173.4,0.008726,0.041441,Lumber and Plywood
WPUSI004011,2003,M09,185.8,0.071511,0.128112,Lumber and Plywood
WPUSI004011,2003,M10,185.5,-0.001615,0.135946,Lumber and Plywood
WPUSI004011,2003,M11,186.7,0.006469,0.150339,Lumber and Plywood
WPUSI004011,2003,M12,183.5,-0.01714,0.131319,Lumber and Plywood
WPUSI004011,2004,M01,181.9,-0.008719,0.120074,Lumber and Plywood
WPUSI004011,2004,M02,193.6,0.064321,0.1769,Lumber and Plywood
WPUSI004011,2004,M03,204.1,0.054236,0.25138,Lumber and Plywood
WPUSI004011,2004,M04,210.4,0.030867,0.289216,Lumber and Plywood
WPUSI004011,2004,M05,216.7,0.029943,0.327819,Lumber and Plywood
WPUSI004011,2004,M06,207.9,-0.040609,0.257713,Lumber and Plywood
WPUSI004011,2004,M07,202.2,-0.027417,0.176265,Lumber and Plywood
WPUSI004011,2004,M08,215.7,0.066766,0.243945,Lumber and Plywood
WPUSI004011,2004,M09,216.5,0.003709,0.165231,Lumber and Plywood
WPUSI004011,2004,M10,201.7,-0.06836,0.087332,Lumber and Plywood
WPUSI004011,2004,M11,189.5,-0.060486,0.014997,Lumber and Plywood
WPUSI004011,2004,M12,192.7,0.016887,0.050136,Lumber and Plywood
WPUSI004011,2005,M01,195.5,0.01453,0.074766,Lumber and Plywood
WPUSI004011,2005,M02,202.6,0.036317,0.046488,Lumber and Plywood
WPUSI004011,2005,M03,202.6,0.0,-0.007349,Lumber and Plywood
WPUSI004011,2005,M04,200.4,-0.010859,-0.047529,Lumber and Plywood
WPUSI004011,2005,M05,192.1,-0.041417,-0.113521,Lumber and Plywood
WPUSI004011,2005,M06,199.0,0.035919,-0.042809,Lumber and Plywood
WPUSI004011,2005,M07,194.7,-0.021608,-0.037092,Lumber and Plywood
WPUSI004011,2005,M08,190.4,-0.022085,-0.117293,Lumber and Plywood
WPUSI004011,2005,M09,198.5,0.042542,-0.083141,Lumber and Plywood
WPUSI004011,2005,M10,199.5,0.005038,-0.010907,Lumber and Plywood
WPUSI004011,2005,M11,189.3,-0.051128,-0.001055,Lumber and Plywood
